"DiseaseID","DiseaseName","Description","CategoryID","ICD10_Code","RiskFactors","Prevention","Symptoms","Diagnosis"
"23","กุ้งยิง (Stye)","กุ้งยิงคือการติดเชื้อที่ต่อมไขมันบริเวณขอบตาหรือรูขุมขนของขนตา ทำให้เกิดการอักเสบและบวมเป็นตุ่มแดงคล้ายหนอง","2","H00.0","<ul><li><p><strong>รายละเอียดของโรค</strong></p></li><li><p>- เกิดจากเชื้อแบคทีเรียชนิด Staphylococcus aureus</p></li><li><p>- มักเกิดบริเวณขอบตาหรือใต้หนังตา</p></li><li><p>- เกิดการอุดตันและติดเชื้อในต่อมไขมันหรือต่อมเหงื่อบริเวณนั้น</p></li></ul>","<ul><li><p><strong>วิธีดูแล และ การป้องกัน</strong></p></li><li><p>- รักษาความสะอาดมือและใบหน้า</p></li><li><p>- หลีกเลี่ยงการขยี้ตา</p></li><li><p>- ใช้ผ้าชุบน้ำอุ่นประคบบริเวณที่กุ้งยิง</p></li><li><p>- เปลี่ยนผ้าหรือผ้าเช็ดหน้าเป็นประจำ</p></li><li><p>- หากเป็นบ่อยควรไปพบแพทย์</p></li></ul>","<p><strong>อาการ</strong></p><ul><li><p>- ตุ่มแดงปวด บวมที่ขอบตาหรือใต้ตา</p></li><li><p>- ตาแฉะ น้ำตาไหล</p></li><li><p>- มีหนองหรือหัวหนองที่ตุ่ม</p></li><li><p>- บางครั้งรู้สึกคันหรือระคายเคือง</p></li></ul>","<ul><li><p><strong>การติดต่อ</strong></p></li><li><p>- ไม่ติดต่อโดยตรงจากคนสู่คน</p></li><li><p>- แต่อาจติดเชื้อจากการสัมผัสมือสกปรกหรือใช้สิ่งของร่วมกับผู้ติดเชื้อ</p></li></ul>"
"24","เริม (Herpes Simplex)","โรคเริมเกิดจากเชื้อไวรัส Herpes Simplex Virus (HSV) โดยมี 2 ชนิดหลัก คือ HSV-1 มักทำให้เกิดแผลเริมที่ปาก และ HSV-2 มักทำให้เกิดแผลบริเวณอวัยวะเพศ","2","B00.9","<ul><li><p><strong>รายละเอียดของโรค</strong></p></li><li><p>เชื้อไวรัสจะฝังตัวในระบบประสาทและสามารถกลับมาเกิดซ้ำได้</p></li><li><p>ติดต่อโดยการสัมผัสโดยตรงกับแผลเริมหรือสารคัดหลั่ง</p></li><li><p>เริมอาจเกิดขึ้นในรูปแบบของแผลพุพองและมีอาการเจ็บปวดบริเวณที่ติดเชื้อ</p></li></ul>","<ul><li><p><strong>วิธีดูแล และ การป้องกัน</strong></p></li><li><p>- หลีกเลี่ยงการสัมผัสแผลเริมของผู้อื่น</p></li><li><p>- ไม่ใช้ของส่วนตัวร่วมกัน เช่น แก้วน้ำ ผ้าเช็ดหน้า</p></li><li><p>- รักษาความสะอาดบริเวณแผล</p></li><li><p>- ใช้ยาตามคำแนะนำแพทย์เพื่อควบคุมอาการ</p></li><li><p>- หากมีอาการรุนแรงหรือซ้ำบ่อย ควรปรึกษาแพทย์</p></li></ul>","<ul><li><p><strong>อาการ</strong></p></li><li><p>- แผลพุพองเล็ก ๆ บริเวณริมฝีปากหรืออวัยวะเพศ</p></li><li><p>- รู้สึกเจ็บปวดหรือแสบบริเวณแผล</p></li><li><p>- บางครั้งอาจมีไข้ ปวดเมื่อยกล้ามเนื้อ หรืออาการคล้ายไข้หวัดใหญ่</p></li><li><p>- บางรายอาจมีอาการคันหรือรู้สึกแสบร้อนก่อนเกิดแผล</p></li></ul>","<ul><li><p><strong>การติดต่อ</strong></p></li><li><p>- ติดต่อผ่านการสัมผัสโดยตรงกับแผลเริม หรือสารคัดหลั่ง เช่น น้ำลาย น้ำคัดหลั่งทางเพศ</p></li><li><p>- สามารถติดต่อได้แม้ไม่มีแผลชัดเจนในบางช่วงเวลา (ช่วงไวรัสแพร่กระจาย)</p></li></ul>"
"25","คัดจมูกแพ้อากาศ (Nasal Congestion due to Allergies/Allergic Rhinitis)","เป็นอาการคัดจมูกที่เกิดจากการแพ้สารก่อภูมิแพ้ในอากาศ เช่น ฝุ่น ละอองเกสรดอกไม้ ขนสัตว์ หรือเชื้อรา ซึ่งทำให้เยื่อบุจมูกอักเสบและบวม","2","J30.9","<ul><li><p><strong>รายละเอียดของโรค</strong></p></li><li><p>เกิดจากระบบภูมิคุ้มกันตอบสนองเกินไปต่อสารก่อภูมิแพ้</p></li><li><p>อาการมักเป็นๆ หายๆ ตามฤดูกาลหรือความเข้มข้นของสารก่อภูมิแพ้</p></li><li><p>เป็นโรคภูมิแพ้ที่พบบ่อยและส่งผลต่อคุณภาพชีวิต</p></li></ul>","<ul><li><p><strong>วิธีดูแล และ การป้องกัน</strong></p></li><li><p>- หลีกเลี่ยงสารก่อภูมิแพ้ เช่น ฝุ่น ละอองเกสร ขนสัตว์</p></li><li><p>- รักษาความสะอาดบ้าน และใช้เครื่องฟอกอากาศ</p></li><li><p>- ล้างจมูกด้วยน้ำเกลือเพื่อลดสารก่อภูมิแพ้ในโพรงจมูก</p></li><li><p>- ใช้ยาแก้แพ้ตามคำแนะนำแพทย์</p></li></ul>","<ul><li><p><strong>อาการ</strong></p></li><li><p>- คัดจมูก น้ำมูกใสไหล</p></li><li><p>- จามบ่อย</p></li><li><p>- คันจมูก คันตา</p></li><li><p>- ตาแดง น้ำตาไหล</p></li><li><p>- บางรายอาจมีเสียงหายใจดังในจมูก</p></li></ul>","<ul><li><p><strong>การติดต่อ</strong></p></li><li><p>- ไม่ติดต่อจากคนสู่คน เป็นโรคภูมิแพ้ที่เกิดจากปฏิกิริยาภูมิคุ้มกันส่วนบุคคล</p></li></ul>"
"26","คางทูม (Mumps)","คางทูมเป็นโรคติดเชื้อไวรัสที่ทำให้ต่อมน้ำลายบวม โดยเฉพาะต่อมน้ำลายใต้หู (Parotid gland) ทำให้เกิดอาการบวมเจ็บบริเวณใบหน้า","2","B26.9","<p><strong>คางทูม (Mumps)</strong>&nbsp;เป็นโรคติดต่อทางระบบทางเดินหายใจ ที่ติดเชื้อไวรัสจากคนสู่คน โดยสัมผัสละอองน้ำลายของผู้ที่ติดเชื้อได้จากการไอหรือจาม ไวรัสจะเคลื่อนจากระบบทางเดินหายใจไปยังต่อมน้ำลายบริเวณข้างหู เมื่อต่อมนี้เกิดการอักเสบจะทำให้เกิดอาการเจ็บปวดและบวมแดง นอกจากนี้ ถ้าไวรัสแพร่กระจายเข้าสู่น้ำหล่อเลี้ยงสมองและไขสันหลังแล้ว ก็อาจจะแพร่ไปที่อื่นในร่างกายส่งผลให้เกิดภาวะแทรกซ้อนได้ เช่น ภาวะแทรกซ้อนในระบบสืบพันธุ์</p>","<ul><li><p>- แยกผู้ป่วยออกจากผู้อื่นจนกว่าจะหาย</p></li><li><p>- หมั่นล้างมือและทำความสะอาดสิ่งของที่สัมผัส</p></li><li><p>- รับวัคซีน MMR (Measles, Mumps, Rubella) เพื่อป้องกัน</p></li><li><p>- พักผ่อนให้เพียงพอและดื่มน้ำมาก ๆ</p></li></ul>","<ul><li><p>- ต่อมน้ำลายบวม เจ็บ และแดงบริเวณข้างแก้มใต้หู</p></li><li><p>- ปวดเมื่อกลืนอาหารหรือเปิดปากกว้าง</p></li><li><p>- มีไข้ ปวดหัว อ่อนเพลีย</p></li><li><p>- บางรายอาจมีอาการปวดกล้ามเนื้อ หรืออักเสบของอวัยวะอื่น เช่น อัณฑะ</p></li></ul>","<ul><li><p>- ติดต่อจากการสัมผัสสารคัดหลั่งของผู้ป่วย เช่น น้ำลาย น้ำมูก หรือจามไอ</p></li><li><p>- ติดต่อได้ง่ายในที่ชุมนุม เช่น โรงเรียน</p></li></ul>"
"27","ต่อมทอนซิลอักเสบ (Tonsillitis)","ต่อมทอนซิลอักเสบคือ ภาวะที่ต่อมทอนซิล (ต่อมน้ำเหลืองที่อยู่สองข้างของคอ) เกิดการอักเสบจากการติดเชื้อไวรัสหรือแบคทีเรีย ทำให้เจ็บคอ กลืนลำบาก และอาจมีไข้ร่วมด้วย","2","J03.9","<ul><li><p><strong>รายละเอียดของโรค</strong></p></li><li><p>สาเหตุจากเชื้อไวรัส เช่น Adenovirus, Influenza virus หรือแบคทีเรีย โดยเฉพาะ <em>Streptococcus pyogenes</em></p></li><li><p>พบมากในเด็กและวัยรุ่น</p></li><li><p>แบ่งเป็นชนิดเฉียบพลันและเรื้อรัง</p></li></ul>","<ul><li><p><strong>วิธีดูแล และ การป้องกัน</strong></p></li><li><p>- หลีกเลี่ยงใกล้ชิดผู้ติดเชื้อ</p></li><li><p>- ล้างมือบ่อย ๆ</p></li><li><p>- หลีกเลี่ยงการใช้ของใช้ส่วนตัวร่วมกับผู้อื่น</p></li><li><p>- พักผ่อนให้เพียงพอ ดื่มน้ำมาก ๆ</p></li><li><p>- ใช้น้ำเกลือกลั้วคอเพื่อบรรเทาอาการเจ็บคอ</p></li></ul>","<ul><li><p><strong>อาการ</strong></p></li><li><p>- เจ็บคอมาก โดยเฉพาะเวลากลืน</p></li><li><p>- ต่อมทอนซิลบวม แดง อาจมีหนอง</p></li><li><p>- มีไข้ หนาวสั่น</p></li><li><p>- กลิ่นปาก เสียงเปลี่ยน</p></li><li><p>- ต่อมน้ำเหลืองที่คอบวม เจ็บ</p></li><li><p>- บางรายมีอาการปวดหูหรือปวดศีรษะ</p></li></ul>","<ul><li><p><strong>การติดต่อ</strong></p></li><li><p>- ติดต่อผ่านละอองจากการไอ จาม หรือสัมผัสสารคัดหลั่งของผู้ป่วย</p></li><li><p>- การใช้ภาชนะร่วมกัน เช่น ช้อน แก้วน้ำ</p></li></ul>"
"28","ไซนัสอักเสบ (Sinusitis)","ไซนัสอักเสบคือ ภาวะที่เยื่อบุโพรงไซนัสเกิดการอักเสบหรือบวม มักเกิดจากการติดเชื้อไวรัส แบคทีเรีย หรือแพ้อากาศ ทำให้มีอาการคัดจมูก ปวดใบหน้า น้ำมูกไหล และอาจมีไข้ร่วมด้วย","2","J01.90","<ul><li><p>โพรงไซนัส คือ ช่องอากาศรอบจมูกและตา มีหน้าที่ปรับอุณหภูมิอากาศ และช่วยกระจายเสียง</p></li><li><p>หากมีสิ่งแปลกปลอม เช่น เชื้อโรค ฝุ่น หรือสารก่อภูมิแพ้ ทำให้เยื่อบุโพรงอักเสบ เกิดการบวม ปิดกั้นทางระบาย</p></li><li><p>แบ่งเป็น 2 แบบ:</p><ul><li><p><strong>เฉียบพลัน</strong> (Acute): อาการไม่เกิน 4 สัปดาห์</p></li><li><p><strong>เรื้อรัง</strong> (Chronic): อาการนานกว่า 12 สัปดาห์</p></li></ul></li></ul>","<ul><li><p>- หลีกเลี่ยงสารก่อภูมิแพ้ ฝุ่น ควัน</p></li><li><p>- รักษาสุขอนามัย ล้างมือบ่อย</p></li><li><p>- ดื่มน้ำมาก ๆ เพื่อช่วยให้น้ำมูกไม่ข้น</p></li><li><p>- หากมีอาการแพ้ควรรักษาและควบคุมให้ดี</p></li><li><p>- หลีกเลี่ยงการว่ายน้ำในน้ำที่ไม่สะอาด</p></li></ul>","<ul><li><p>- ปวดหรือแน่นบริเวณใบหน้า หน้าผาก โหนกแก้ม</p></li><li><p>- คัดจมูก น้ำมูกข้น หรือเป็นหนอง</p></li><li><p>- การรับกลิ่นลดลง</p></li><li><p>- ปวดศีรษะ</p></li><li><p>- มีไข้ อ่อนเพลีย</p></li><li><p>- เสียงเปลี่ยน (เสียงอู้อี้)</p></li></ul>","<ul><li><p>- โดยปกติไม่ติดต่อโดยตรง</p></li><li><p>- หากเกิดจากเชื้อไวรัสหรือแบคทีเรีย อาจแพร่จากการไอ จาม</p></li></ul>"
"29","เหงือกอักเสบ (Gingivitis)","เหงือกอักเสบคือ ภาวะที่เหงือกมีการอักเสบ บวม แดง และมีเลือดออกง่าย มักเกิดจากคราบจุลินทรีย์สะสมที่ขอบเหงือก หากไม่รักษาอาจลุกลามเป็นโรคปริทันต์ (Periodontitis)","2","K05.1","<ul><li><p>เหงือกอักเสบมักเริ่มจาก <strong>คราบพลัค (Plaque)</strong> ซึ่งเป็นฟิล์มแบคทีเรียที่เกาะตามฟัน</p></li><li><p>หากไม่ขจัดออก จะกลายเป็นหินปูนและกระตุ้นให้เหงือกอักเสบ</p></li><li><p>หากปล่อยไว้อาจกระทบต่อเนื้อเยื่อและกระดูกที่ยึดฟัน</p></li></ul>","<ul><li><p>- แปรงฟันอย่างถูกวิธี วันละ 2 ครั้ง</p></li><li><p>- ใช้ไหมขัดฟันทุกวัน</p></li><li><p>- พบทันตแพทย์เพื่อตรวจและขูดหินปูนทุก 6 เดือน</p></li><li><p>- หลีกเลี่ยงการสูบบุหรี่</p></li><li><p>- รักษาสุขภาพโดยรวมให้ดี เช่น ควบคุมระดับน้ำตาลในผู้ป่วยเบาหวาน</p></li></ul>","<ul><li><p>- เหงือกบวม แดง</p></li><li><p>- มีเลือดออกขณะแปรงฟันหรือใช้ไหมขัดฟัน</p></li><li><p>- มีกลิ่นปาก</p></li><li><p>- เหงือกร่น</p></li><li><p>- อาจรู้สึกเจ็บหรือระคายเคืองในเหงือก</p></li></ul>","<ul><li><p><strong>- ไม่ใช่โรคติดต่อโดยตรง</strong></p></li><li><p>- แต่อาจเกิดร่วมกับการมีสุขอนามัยในช่องปากไม่ดี ซึ่งสามารถพบได้หลายคนในครอบครัวเดียวกัน</p></li></ul>"
"30","คอพอก (Goiter)","คอพอก คือ ภาวะที่ต่อมไทรอยด์มีขนาดใหญ่กว่าปกติ ทำให้เห็นเป็นก้อนหรือบวมที่บริเวณคอด้านหน้า อาจเกิดจากหลายสาเหตุ เช่น การขาดไอโอดีน หรือภาวะไทรอยด์ทำงานผิดปกติ","2","E04.9","<ul><li><p>ต่อมไทรอยด์เป็นต่อมรูปผีเสื้อบริเวณลำคอส่วนหน้า</p></li><li><p>คอพอกอาจเกิดได้ทั้งจากภาวะ <strong>ไทรอยด์ทำงานปกติ, ทำงานเกิน (ไทรอยด์เป็นพิษ)</strong> หรือ <strong>ทำงานต่ำ (ไทรอยด์ต่ำ)</strong></p></li><li><p>พบได้ในทุกเพศทุกวัย แต่พบในเพศหญิงมากกว่า</p></li></ul>","<ul><li><p>- รับประทานอาหารที่มี <strong>ไอโอดีน</strong> อย่างเพียงพอ เช่น เกลือเสริมไอโอดีน</p></li><li><p>- ตรวจสุขภาพประจำปีโดยเฉพาะผู้หญิงวัยกลางคน</p></li><li><p>- หากมีอาการบวมที่คอ ควรไปพบแพทย์ทันที</p></li><li><p>- หลีกเลี่ยงการใช้ยาสมุนไพรหรืออาหารเสริมที่กระตุ้นต่อมไทรอยด์โดยไม่จำเป็น</p></li></ul>","<ul><li><p>- มีก้อนบวมที่คอด้านหน้า</p></li><li><p>- อาจกลืนลำบากหรือรู้สึกแน่นคอ</p></li><li><p>- อาจมีเสียงแหบ หายใจลำบาก</p></li><li><p>- ถ้าไทรอยด์ทำงานเกิน: ใจสั่น เหงื่อออก น้ำหนักลด</p></li><li><p>- ถ้าไทรอยด์ทำงานต่ำ: อ่อนเพลีย น้ำหนักเพิ่ม หนาวง่าย</p></li></ul>","<ul><li><p><strong>- ไม่ใช่โรคติดต่อ</strong></p></li><li><p>- แต่บางรูปแบบอาจมีปัจจัยทางกรรมพันธุ์</p></li></ul>"
"31","ความดันต่ำหน้ามืดเวียนศีรษะ (Low Blood Pressure/Hypotension)","ความดันโลหิตต่ำ คือ ภาวะที่ความดันเลือดในหลอดเลือดแดงต่ำกว่าค่ามาตรฐาน ทำให้เลือดไหลเวียนไปยังอวัยวะต่างๆ ได้ไม่เพียงพอ ส่งผลให้เกิดอาการหน้ามืด เวียนศีรษะ และอ่อนเพลีย","2","I95.9","<ul><li><p>ความดันโลหิตต่ำมักนิยามว่า &lt; 90/60 mmHg</p></li><li><p>อาจเกิดขึ้นจากการขาดน้ำ เสียน้ำมาก การใช้ยา หรือปัญหาเกี่ยวกับหัวใจ</p></li><li><p>พบได้ในทุกเพศทุกวัย โดยเฉพาะผู้สูงอายุหรือคนที่มีโรคเรื้อรัง</p></li></ul>","<ul><li><p>- ดื่มน้ำมากๆ อย่างน้อย 6-8 แก้วต่อวัน</p></li><li><p>- รับประทานอาหารที่มีเกลือในระดับเหมาะสม</p></li><li><p>- หลีกเลี่ยงการยืนเร็วหรือเปลี่ยนท่าทางเร็ว</p></li><li><p>- หมั่นออกกำลังกายเพื่อเพิ่มการไหลเวียนเลือด</p></li><li><p>- หลีกเลี่ยงการดื่มแอลกอฮอล์</p></li><li><p>- พักผ่อนให้เพียงพอ</p></li></ul>","<ul><li><p>- หน้ามืด เวียนศีรษะ</p></li><li><p>- เหนื่อยง่าย อ่อนเพลีย</p></li><li><p>- เป็นลมบ่อย โดยเฉพาะเวลาเปลี่ยนอิริยาบถ</p></li><li><p>- มือเท้าเย็น ชีพจรเต้นเบา</p></li><li><p>- คลื่นไส้ มองเห็นภาพซ้อน</p></li></ul>","<ul><li><p><strong>- ไม่ใช่โรคติดต่อ</strong></p></li><li><p>- เป็นภาวะทางกายที่เกิดจากปัจจัยหลายอย่าง เช่น ภาวะขาดน้ำ หัวใจเต้นผิดจังหวะ หรือยา</p></li></ul>"
"32","ริดสีดวงตา (Hemorrhoids of the Eye - likely referring to Subconjunctival Hemorrhage)","ภาวะที่มีเลือดออกบริเวณใต้เยื่อบุตาขาว (เยื่อบางๆ ที่คลุมผิวลูกตา) ทำให้ตาแดงเหมือนเลือดออก แต่อาการไม่อันตรายและหายเองได้","2","H57.89","<ul><li><p>- เกิดจากเส้นเลือดฝอยในเยื่อบุตาขาวแตก</p></li><li><p>- มักเกิดขึ้นเฉียบพลันโดยไม่มีอาการเจ็บ</p></li><li><p>- ไม่ส่งผลกระทบต่อการมองเห็น</p></li><li><p>- มักเกิดจากการไอแรง จาม ยกของหนัก ขยี้ตา หรืออุบัติเหตุเล็กน้อย</p></li></ul>","<ul><li><p>- หลีกเลี่ยงการขยี้ตารุนแรง</p></li><li><p>- พักผ่อนให้เพียงพอ</p></li><li><p>- หากใช้ยาต้านการแข็งตัวของเลือด ควรตรวจเลือดตามแพทย์นัด</p></li><li><p>- หากเกิดบ่อย ควรพบแพทย์เพื่อตรวจหาโรคความดันโลหิตสูงหรือโรคเลือด</p></li></ul>","<ul><li><p>- ตาแดงสดในบริเวณขาวของลูกตา</p></li><li><p>- ไม่มีอาการปวดหรือเคือง</p></li><li><p>- ไม่มีน้ำตาไหลหรือหนอง</p></li><li><p>- การมองเห็นเป็นปกติ</p></li></ul>","<ul><li><p>- ไม่ใช่โรคติดต่อ</p></li></ul>"
"33","ท้องร่วง (Diarrhea)","ท้องร่วงคือภาวะที่มีการถ่ายอุจจาระเหลวหรือเป็นน้ำมากกว่าปกติ วันละมากกว่า 3 ครั้ง อาจเกิดจากการติดเชื้อ ระบบย่อยอาหารผิดปกติ หรือการแพ้อาหาร","3","R19.7","<ul><li><p>- ท้องร่วงมักเกิดจากไวรัส แบคทีเรีย หรือพยาธิ</p></li><li><p>- อาจมีสาเหตุจากอาหารปนเปื้อน อาหารที่ไม่สะอาด หรือการแพ้อาหารบางประเภท</p></li><li><p>- อาจมีอาการร่วม เช่น ปวดท้อง คลื่นไส้ อาเจียน มีไข้</p></li></ul>","<ul><li><p>- ดื่มน้ำมาก ๆ เพื่อป้องกันการขาดน้ำ</p></li><li><p>- เลือกรับประทานอาหารปรุงสุกใหม่ สะอาด</p></li><li><p>- ล้างมือก่อนรับประทานอาหารและหลังเข้าห้องน้ำ</p></li><li><p>- หลีกเลี่ยงนม อาหารมัน หรืออาหารรสจัดขณะท้องเสีย</p></li><li><p>- หากถ่ายเหลวนานเกิน 2 วัน หรือมีไข้สูง ควรพบแพทย์</p></li></ul>","<ul><li><p>- ถ่ายเหลว หรือถ่ายเป็นน้ำ</p></li><li><p>- ปวดท้องหรือปวดเกร็งในช่องท้อง</p></li><li><p>- อ่อนเพลีย มีไข้ คลื่นไส้</p></li><li><p>- ในบางรายอาจมีอาการขาดน้ำ เช่น ปากแห้ง ปัสสาวะน้อย เวียนศีรษะ</p></li></ul>","<ul><li><p>- ติดต่อได้จากการกินอาหารหรือน้ำที่ปนเปื้อน</p></li><li><p>- สัมผัสมือหรือสิ่งของที่มีเชื้อโรคแล้วเอาเข้าปาก</p></li><li><p>- การล้างมือไม่สะอาดหลังเข้าห้องน้ำ</p></li></ul>"
"34","ท้องเสีย (Dysentery)","ท้องเสียแบบมีมูกหรือเลือด (Dysentery) คือการอักเสบของลำไส้ โดยเฉพาะลำไส้ใหญ่ ทำให้ถ่ายอุจจาระบ่อย มีมูก เลือด หรือหนอง มักเกิดจากเชื้อแบคทีเรีย เช่น Shigella, Salmonella, หรือ Entamoeba histolytica (โปรโตซัว)","3","A09","<ul><li><p>- ติดต่อโดยการกินอาหารหรือน้ำที่ปนเปื้อน</p></li><li><p>- เชื้อจะทำลายเยื่อบุลำไส้ ทำให้เกิดอาการอักเสบ</p></li><li><p>- พบมากในเด็ก ผู้สูงอายุ หรือในพื้นที่ที่สุขาภิบาลไม่ดี</p></li></ul>","<ul><li><p>- ล้างมือบ่อย ๆ โดยเฉพาะก่อนกินและหลังเข้าห้องน้ำ</p></li><li><p>- ดื่มน้ำสะอาด หลีกเลี่ยงอาหารสุก ๆ ดิบ ๆ</p></li><li><p>- รับประทานอาหารที่ปรุงสุกและเก็บในภาชนะสะอาด</p></li><li><p>- ดื่ม ORS (น้ำตาลเกลือแร่) ป้องกันภาวะขาดน้ำ</p></li><li><p>- ไม่ควรใช้ยาหยุดถ่ายในกรณีที่มีมูกเลือด (ควรขับเชื้อออก)</p></li></ul>","<ul><li><p>- ถ่ายเหลววันละหลายครั้ง มีมูกหรือเลือดปน</p></li><li><p>- ปวดบีบท้อง ปวดเบ่ง</p></li><li><p>- อ่อนเพลีย มีไข้ หนาวสั่น</p></li><li><p>- คลื่นไส้ อาเจียน</p></li><li><p>- อาจเกิดภาวะขาดน้ำรุนแรงได้</p></li></ul>","<ul><li><p>- ทางปาก โดยการกินอาหาร/น้ำที่ปนเปื้อน</p></li><li><p>- ติดต่อผ่านมือที่ไม่สะอาดหรือสัมผัสสิ่งของปนเปื้อน</p></li><li><p>- ไม่ติดต่อโดยการหายใจหรือสัมผัสผิวหนังโดยตรง</p></li></ul>"
