"DiseaseID","DiseaseName","Description","CategoryID","ICD10_Code","RiskFactors","Prevention","Symptoms","Diagnosis"
"35","ใจสั่นใจหวิว (Palpitations)","อาการใจสั่นใจหวิว (Palpitations) คือความรู้สึกที่หัวใจเต้นแรง เต้นเร็ว หรือเต้นผิดจังหวะ รู้สึกเหมือนหัวใจ “เต้นตุ้บ ๆ” หรือ “สะดุด” อาจเกิดขึ้นชั่วคราว หรือเป็นอาการของโรคหัวใจหรือภาวะอื่น ๆ","3","R00.2","<ul><li><p>- เป็นอาการ ไม่ใช่โรคโดยตรง</p></li><li><p>- เกิดได้จากหลายสาเหตุ เช่น ความเครียด วิตกกังวล การออกกำลังกายมากเกินไป หรือภาวะขาดน้ำ</p></li><li><p>- อาจเกิดจากโรคหัวใจ เช่น หัวใจเต้นผิดจังหวะ, ลิ้นหัวใจผิดปกติ</p></li><li><p>- บางครั้งเกี่ยวข้องกับภาวะฮอร์โมน เช่น ไทรอยด์เป็นพิษ หรือหมดประจำเดือน</p></li></ul>","<ul><li><p>- พักผ่อนให้เพียงพอ</p></li><li><p>- หลีกเลี่ยงคาเฟอีน แอลกอฮอล์ หรือสารกระตุ้น</p></li><li><p>- หลีกเลี่ยงความเครียด</p></li><li><p>- ดื่มน้ำให้เพียงพอ</p></li><li><p>- หากมีอาการบ่อย ควรพบแพทย์ตรวจคลื่นไฟฟ้าหัวใจ (EKG)</p></li></ul>","<ul><li><p>- รู้สึกว่าหัวใจเต้นแรงหรือเร็วผิดปกติ</p></li><li><p>- ใจหวิว เหมือนหัวใจ “ลอย”</p></li><li><p>- มึนศีรษะ หน้ามืด เหงื่อออก</p></li><li><p>- เหนื่อยง่าย</p></li><li><p>- ในรายรุนแรงอาจหมดสติ</p></li></ul>","<ul><li><p>- ไม่ใช่โรคติดต่อ</p></li><li><p>- เกิดจากภายในร่างกายหรือพฤติกรรมการใช้ชีวิต</p></li></ul>"
"36","พยาธิตัวตีด (Tapeworm Infestation)","พยาธิตัวตืดคือปรสิตที่อาศัยอยู่ในลำไส้ของมนุษย์และสัตว์ โดยได้รับการติดเชื้อจากการรับประทานเนื้อสัตว์ที่ปรุงไม่สุกหรือดิบ เช่น เนื้อหมู เนื้อวัว หรือปลาที่มีตัวอ่อนของพยาธิ

","3","B68","<ul><li><p>- พยาธิตัวตืดที่พบบ่อย ได้แก่ <strong>Taenia saginata</strong> (จากเนื้อวัว), <strong>Taenia solium</strong> (จากเนื้อหมู) และ <strong>Diphyllobothrium latum</strong> (จากปลา)</p></li><li><p>- เมื่อเข้าสู่ร่างกาย ตัวอ่อนจะเจริญเติบโตเป็นพยาธิตัวเต็มวัยในลำไส้</p></li><li><p>- สามารถยาวได้หลายเมตร และอาศัยดูดซึมสารอาหารจากลำไส้ของคน</p></li><li><p>- ในบางกรณี เช่น <em>Taenia solium</em> อาจก่อให้เกิด <strong>พยาธิในสมอง (Cysticercosis)</strong> ซึ่งอันตรายรุนแรง</p></li></ul>","<ul><li><p>- ปรุงอาหารให้สุกโดยเฉพาะเนื้อหมู เนื้อวัว ปลา</p></li><li><p>- ล้างมือก่อนรับประทานอาหาร</p></li><li><p>- ควบคุมสุขาภิบาลสิ่งแวดล้อม</p></li><li><p>- ตรวจคัดกรองในพื้นที่เสี่ยงหรือตรวจอุจจาระ</p></li></ul>","<ul><li><p>- คลื่นไส้ ปวดท้อง เบื่ออาหาร</p></li><li><p>- น้ำหนักลด</p></li><li><p>- อ่อนเพลีย</p></li><li><p>- อาจพบปล้องพยาธิในอุจจาระ</p></li><li><p>- หากมีพยาธิในสมอง อาจชัก ปวดศีรษะ</p></li></ul>","<ul><li><p>- รับประทานเนื้อสัตว์ดิบหรือปรุงไม่สุกที่มีตัวอ่อนของพยาธิ</p></li><li><p>- สุขอนามัยไม่ดี เช่น การใช้มือสกปรับจับอาหาร</p></li><li><p>- พยาธิไม่ติดต่อจากคนสู่คนโดยตรง แต่ไข่อาจปนเปื้อนสิ่งแวดล้อม</p></li></ul>"
"37","พยาธิเส้นด้าย (Threadworm Infestation)","พยาธิเส้นด้าย หรือพยาธิปากขอ (Enterobius vermicularis) เป็นพยาธิตัวเล็ก ๆ ที่อาศัยในลำไส้ใหญ่ของมนุษย์ มักพบในเด็กและติดต่อกันง่ายในครอบครัวหรือสถานที่ที่มีคนรวมตัวกัน","3","B80","<ul><li><p>- พยาธิชนิดนี้มีขนาดเล็ก ยาวประมาณ 1 เซนติเมตร</p></li><li><p>- ตัวเมียจะออกไข่บริเวณรอบทวารหนักในตอนกลางคืน ทำให้เกิดอาการคัน</p></li><li><p>- ไข่พยาธิสามารถอยู่ในสภาพแวดล้อมและแพร่เชื้อได้ง่าย</p></li></ul>","<ul><li><p>- ล้างมือให้สะอาดโดยเฉพาะหลังเข้าห้องน้ำและก่อนกินอาหาร</p></li><li><p>- ตัดเล็บให้สั้นและสะอาด</p></li><li><p>- ซักผ้าปูที่นอนและชุดชั้นในด้วยน้ำร้อน</p></li><li><p>- ทำความสะอาดบ้านอย่างสม่ำเสมอ</p></li><li><p>- หลีกเลี่ยงการเการอบทวารหนัก</p></li></ul>","<ul><li><p>- คันรอบทวารหนัก โดยเฉพาะตอนกลางคืน</p></li><li><p>- นอนไม่หลับ รำคาญ</p></li><li><p>- อาจมีอาการระคายเคืองในช่องคลอดในเด็กหญิง</p></li><li><p>- ในบางรายอาจมีปวดท้องหรือเบื่ออาหาร</p></li></ul>","<ul><li><p>- ติดต่อผ่านการกลืนไข่พยาธิที่ปนเปื้อนในมือ อาหาร ของเล่น หรือสิ่งของอื่น ๆ</p></li><li><p>- ไข่พยาธิที่ร่วงหล่นในที่นอน เสื้อผ้า หรือมือสู่ปาก เป็นสาเหตุหลักของการแพร่เชื้อซ้ำ</p></li></ul>"
"38","กระเพาะปัสสาวะอักเสบ (Cystitis/Urinary Tract Infection - UTI)","กระเพาะปัสสาวะอักเสบ คือการติดเชื้อที่กระเพาะปัสสาวะ ซึ่งเป็นส่วนหนึ่งของทางเดินปัสสาวะ ทำให้เกิดการอักเสบและระคายเคือง","4","N30.9","<ul><li><p>- เกิดจากเชื้อแบคทีเรีย เช่น Escherichia coli (E. coli) ที่ปกติอาศัยในลำไส้</p></li><li><p>- เชื้อแบคทีเรียเข้าสู่ทางเดินปัสสาวะและเพิ่มจำนวนมากจนเกิดการติดเชื้อ</p></li><li><p>- พบได้บ่อยในผู้หญิงเนื่องจากท่อปัสสาวะสั้นและใกล้ทวารหนัก</p></li></ul>","<ul><li><p>- ดื่มน้ำมาก ๆ เพื่อช่วยล้างเชื้อแบคทีเรีย</p></li><li><p>- ปัสสาวะให้หมดทุกครั้ง ไม่อั้นปัสสาวะ</p></li><li><p>- รักษาความสะอาดบริเวณอวัยวะเพศ</p></li><li><p>- หลังเข้าห้องน้ำ ควรเช็ดจากหน้าไปหลังเพื่อป้องกันเชื้อจากทวารหนักเข้าสู่ทางเดินปัสสาวะ</p></li><li><p>- หลีกเลี่ยงการใส่เสื้อผ้ารัดแน่นหรือเปียกชื้น</p></li></ul>","<ul><li><p>- ปัสสาวะขัด ปัสสาวะบ่อย</p></li><li><p>- ปัสสาวะมีสีขุ่นหรือมีกลิ่นเหม็น</p></li><li><p>- ปวดหรือแสบขณะปัสสาวะ</p></li><li><p>- ปวดท้องน้อยหรือแน่นท้อง</p></li><li><p>- บางรายอาจมีไข้ต่ำ ๆ</p></li></ul>","<p>ไม่ใช่โรคติดต่อทางเพศสัมพันธ์โดยตรง แต่เชื้อแบคทีเรียสามารถแพร่จากการมีเพศสัมพันธ์หรือการทำความสะอาดที่ไม่ถูกสุขลักษณะ</p>"
"39","โรคติดต่อทางเพศ (Sexually Transmitted Infections - STIs)","โรคติดต่อทางเพศสัมพันธ์ คือกลุ่มโรคที่เกิดจากการติดเชื้อซึ่งส่งผ่านจากคนหนึ่งไปยังอีกคนหนึ่งผ่านกิจกรรมทางเพศ เช่น เพศสัมพันธ์ทางช่องคลอด ทางทวารหนัก หรือทางปาก","4","A64","<ul><li><p>มีสาเหตุจากเชื้อแบคทีเรีย ไวรัส หรือปรสิต เช่น</p><ul><li><p>- แบคทีเรีย: ซิฟิลิส (Syphilis), หนองใน (Gonorrhea), คลามีเดีย (Chlamydia)</p></li><li><p>- ไวรัส: เอดส์ (HIV), เริม (Herpes Simplex Virus), หูดหงอนไก่ (HPV)</p></li><li><p>- ปรสิต: เหาในบริเวณอวัยวะเพศ</p></li></ul></li><li><p>- โรคเหล่านี้สามารถทำให้เกิดผลเสียต่อสุขภาพ เช่น การอักเสบเรื้อรัง ภาวะมีบุตรยาก หรือเพิ่มความเสี่ยงติดเชื้อเอชไอวี</p></li></ul>","<ul><li><p>- ใช้ถุงยางอนามัยทุกครั้งเมื่อต้องมีเพศสัมพันธ์</p></li><li><p>- ตรวจสุขภาพทางเพศอย่างสม่ำเสมอ</p></li><li><p>- หลีกเลี่ยงการมีคู่นอนหลายคน</p></li><li><p>- รักษาความสะอาดบริเวณอวัยวะเพศ</p></li><li><p>- หลีกเลี่ยงการใช้ของใช้ส่วนตัวร่วมกับผู้อื่น</p></li><li><p>- รับวัคซีน HPV หากมีโอกาส</p></li></ul>","<ul><li><p>- แสบหรือเจ็บขณะปัสสาวะ</p></li><li><p>- มีตกขาวหรือตกขาวผิดปกติ</p></li><li><p>- มีตุ่ม แผล หรือผื่นบริเวณอวัยวะเพศ</p></li><li><p>- ปวด บวม หรือคันบริเวณอวัยวะเพศ</p></li><li><p>- มีเลือดออกผิดปกติจากช่องคลอดหรืออวัยวะเพศ</p></li><li><p>- บางรายอาจไม่มีอาการแต่ยังแพร่เชื้อได้</p></li></ul>","<ul><li><p>- ผ่านการมีเพศสัมพันธ์ทุกรูปแบบ ได้แก่ ทางช่องคลอด ทวารหนัก หรือปาก</p></li><li><p>- ผ่านการสัมผัสเลือด เช่น การใช้เข็มฉีดยาร่วมกัน</p></li><li><p>- ผ่านจากแม่สู่ลูกขณะตั้งครรภ์หรือคลอด</p></li></ul>"
"40","เกาต์ (Gout)","เกาต์เป็นโรคข้ออักเสบชนิดหนึ่งที่เกิดจากการสะสมของกรดยูริกในเลือดมากเกินไป จนเกิดผลึกยูเรตสะสมตามข้อ ทำให้เกิดการอักเสบและปวดข้ออย่างรุนแรง","4","M10.9","<ul><li><p>- เกิดจากการที่ร่างกายสร้างกรดยูริกมากเกินไป หรือขับกรดยูริกออกน้อยเกินไป</p></li><li><p>- ผลึกยูเรตไปตกค้างที่ข้อ ทำให้เกิดอาการอักเสบเฉียบพลัน</p></li><li><p>- มักเกิดกับข้อที่นิ้วหัวแม่เท้า ข้อเท้า ข้อเข่า เป็นต้น</p></li><li><p>- มีปัจจัยเสี่ยง เช่น กินอาหารที่มีพิวรีนสูง ดื่มแอลกอฮอล์ ความอ้วน ประวัติครอบครัว</p></li></ul>","<ul><li><p>- หลีกเลี่ยงอาหารที่มีพิวรีนสูง เช่น เนื้อแดง เครื่องในสัตว์ อาหารทะเล</p></li><li><p>- ลดการดื่มแอลกอฮอล์</p></li><li><p>- ควบคุมน้ำหนักตัวให้เหมาะสม</p></li><li><p>- ดื่มน้ำมาก ๆ เพื่อช่วยขับกรดยูริก</p></li><li><p>- รับประทานยาและปฏิบัติตามคำแนะนำแพทย์อย่างเคร่งครัด</p></li></ul>","<ul><li><p>- ปวดข้ออย่างรุนแรง บวม แดง ร้อนบริเวณข้อ</p></li><li><p>- อาการมักเริ่มเฉียบพลันตอนกลางคืน</p></li><li><p>- ข้อขยับลำบาก มีไข้ร่วมได้ในบางราย</p></li><li><p>- บางรายมีเกต (Tophi) คือก้อนผลึกยูเรตใต้ผิวหนัง</p></li></ul>","<ul><li><p>- ไม่ติดต่อจากคนสู่คน</p></li></ul>"
"41","ริดสีดวงทวาร (Hemorrhoids)","ริดสีดวงทวาร คือ ภาวะที่หลอดเลือดบริเวณทวารหนักหรือช่องทวารขยายตัวและอักเสบ เกิดเป็นก้อนเนื้อหรือปุ่มนูนในหรือรอบทวารหนัก ทำให้เกิดอาการเจ็บปวดและเลือดออก","4","I84.9","<ul><li><p>- เกิดจากความดันในหลอดเลือดบริเวณทวารหนักสูง เช่น การเบ่งอุจจาระแรง ท้องผูกเรื้อรัง นั่งหรือยืนนาน</p></li><li><p>- ริดสีดวงทวารแบ่งเป็นชนิดภายในและภายนอก</p></li><li><p>- มักพบในผู้ที่มีอายุ 30-50 ปี และมีพฤติกรรมเสี่ยง เช่น กินอาหารมีกากใยน้อย ดื่มน้ำน้อย</p></li></ul>","<ul><li><p>- กินอาหารมีกากใยสูง เช่น ผัก ผลไม้</p></li><li><p>- ดื่มน้ำมาก ๆ เพื่อป้องกันท้องผูก</p></li><li><p>- ออกกำลังกายเป็นประจำ</p></li><li><p>- หลีกเลี่ยงการเบ่งอุจจาระแรงและนั่งนานในห้องน้ำ</p></li><li><p>- รักษาความสะอาดบริเวณทวารหนัก</p></li><li><p>- ใช้ผ้าชุบน้ำอุ่นประคบบริเวณที่เจ็บ</p></li></ul>","<ul><li><p>- เจ็บหรือคันบริเวณทวารหนัก</p></li><li><p>- มีเลือดสดติดมากับอุจจาระหรือกระดาษชำระ</p></li><li><p>- รู้สึกมีก้อนหรือบวมที่ทวารหนัก</p></li><li><p>- ริดสีดวงภายนอกอาจมีตุ่มบวมและเจ็บเวลานั่ง</p></li></ul>","<ul><li><p>- ไม่ติดต่อจากคนสู่คน</p></li></ul>"
"42","ถ่ายมูกหรือมูกเลือด (Nasal Discharge or Nosebleeds)","อุจจาระที่มีมูกหรือเลือดปน อาจบ่งบอกถึงการอักเสบหรือการติดเชื้อในลำไส้ใหญ่หรือลำไส้เล็ก","4","K62.5","<ul><li><p>- อาจเกิดจากโรคติดเชื้อในลำไส้ เช่น แบคทีเรีย (เช่น Shigella, Salmonella), ไวรัส หรือปรสิต</p></li><li><p>- โรคลำไส้อักเสบเรื้อรัง เช่น โรคโครห์น (Crohn’s disease), ลำไส้ใหญ่อักเสบเรื้อรัง (Ulcerative colitis)</p></li><li><p>- ภาวะลำไส้ระคายเคือง (IBS)</p></li><li><p>- โรคริดสีดวงทวารในช่องทวารที่มีเลือดออก</p></li></ul>","<ul><li><p>- รักษาความสะอาดมือ ล้างมือบ่อย ๆ โดยเฉพาะก่อนรับประทานอาหาร</p></li><li><p>- ดื่มน้ำสะอาดและอาหารที่ปรุงสุก</p></li><li><p>- หลีกเลี่ยงอาหารสกปรกหรืออาหารที่อาจทำให้ท้องเสีย</p></li><li><p>- พบแพทย์หากมีอาการรุนแรงหรือเลือดออกมาก</p></li></ul>","<ul><li><p>- ท้องเสียบ่อยครั้ง อาจมีมูกหรือเลือดปนในอุจจาระ</p></li><li><p>- ปวดท้องหรือปวดบิดเป็นพัก ๆ</p></li><li><p>- อาจมีไข้หรือคลื่นไส้ร่วมด้วย</p></li><li><p>- อุจจาระอาจเป็นน้ำหรือเป็นก้อนเล็ก ๆ</p></li></ul>","<ul><li><p>- หากเกิดจากเชื้อแบคทีเรียหรือไวรัส สามารถติดต่อทางอาหาร น้ำ หรือสัมผัสมือที่ไม่สะอาด</p></li></ul>"
"43","รถล้มการปฐมพยาบาลและการเคลื่อนย้ายผู้ป่วยในที่เกิดเหตุ","เป็นเหตุการณ์ที่ผู้ขับขี่หรือผู้โดยสารประสบอุบัติเหตุจากการล้มรถ เช่น รถจักรยานยนต์ รถจักรยาน หรือแม้แต่รถยนต์ ที่ทำให้เกิดบาดเจ็บในร่างกาย เช่น แผลถลอก กระดูกหัก หรืออาการบาดเจ็บภายใน","5","V20.XXXA","<p>ไม่ใช่โรคแต่เป็นอุบัติเหตุทางร่างกายที่เกิดจากการล้มรถ อาจมีตั้งแต่บาดแผลเล็กน้อยถึงรุนแรง เช่น แผลถลอก ฟกช้ำ กระดูกหัก หรือบาดเจ็บศีรษะและไขสันหลัง</p>","<ul><li><p><strong>ความปลอดภัย ณ จุดเกิดเหตุ:</strong>&nbsp;ประเมินสถานการณ์ให้แน่ใจว่าปลอดภัยต่อผู้ช่วยเหลือเองก่อนเข้าไปช่วยเหลือผู้บาดเจ็บ</p></li><li><p><strong>การปฐมพยาบาลเบื้องต้น:</strong></p><ul><li><p><strong>- ดูแลทางเดินหายใจ:</strong>&nbsp;ตรวจสอบว่าผู้บาดเจ็บหายใจได้หรือไม่ หากไม่หายใจ ให้ทำการช่วยฟื้นคืนชีพขั้นพื้นฐาน (CPR) หากได้รับการฝึกฝน</p></li><li><p><strong>- ห้ามเลือด:</strong>&nbsp;หากมีเลือดออก ให้ใช้ผ้าสะอาดกดบริเวณบาดแผลโดยตรง</p></li><li><p><strong>- ตรึงกระดูก:</strong>&nbsp;หากสงสัยว่ามีการหักของกระดูก (ปวด บวม ผิดรูป) ให้ดามด้วยวัสดุที่แข็งแรง เช่น ไม้ หรือกระดาษแข็ง และพันด้วยผ้า</p></li><li><p><strong>- ดูแลบาดแผล:</strong>&nbsp;ปิดบาดแผลด้วยผ้าสะอาดเพื่อป้องกันการติดเชื้อ</p></li><li><p><strong>- ประเมินระดับความรู้สึกตัว:</strong>&nbsp;พูดคุยกับผู้บาดเจ็บเพื่อดูว่ารู้สึกตัวหรือไม่</p></li></ul></li><li><p><strong>- การเคลื่อนย้ายผู้ป่วย:</strong>&nbsp;ควรเคลื่อนย้ายผู้บาดเจ็บให้น้อยที่สุดเท่าที่จะทำได้ โดยเฉพาะหากสงสัยว่ามีการบาดเจ็บที่กระดูกสันหลัง ควรรอทีมแพทย์กู้ชีพที่มีความชำนาญในการเคลื่อนย้าย หากจำเป็นต้องเคลื่อนย้ายจริงๆ ให้เคลื่อนย้ายโดยประคองศีรษะและลำตัวให้เป็นแนวเดียวกัน</p></li><li><p><strong>- โทรแจ้งหน่วยแพทย์ฉุกเฉิน:</strong>&nbsp;โทร 1669 เพื่อขอความช่วยเหลือทางการแพทย์โดยเร็วที่สุด ให้ข้อมูลเกี่ยวกับสถานที่เกิดเหตุ จำนวนผู้บาดเจ็บ และลักษณะการบาดเจ็บ</p></li></ul>","<ul><li><p>- บาดแผลถลอกหรือแผลเปิด</p></li><li><p>- ปวดตามจุดที่ได้รับบาดเจ็บ</p></li><li><p>- บวม ฟกช้ำ</p></li><li><p>- กระดูกเคลื่อนหรือหัก</p></li><li><p>- อาจมีอาการสลบหรือหมดสติในกรณีรุนแรง</p></li><li><p>- หายใจลำบากหรือเวียนศีรษะ</p></li></ul>","<ul><li><p>- ไม่ติดต่อ</p></li></ul>"
"44","ตกจากที่สูง (Fall from height)","การตกจากที่สูงเป็นอุบัติเหตุที่อาจก่อให้เกิดการบาดเจ็บตั้งแต่เล็กน้อยจนถึงรุนแรง เช่น กระดูกหัก สมองกระทบกระเทือน หรืออวัยวะภายในเสียหาย ขึ้นอยู่กับความสูงและลักษณะการตก

","5","W13.XXXA","<ul><li><p>- ผู้ป่วยอาจได้รับบาดเจ็บจากแรงกระแทก</p></li><li><p>- ความรุนแรงขึ้นกับระดับความสูง จุดที่กระแทก และสภาพร่างกายของผู้ป่วย</p></li><li><p>- อาจส่งผลต่อศีรษะ กระดูกสันหลัง กระดูกแขนขา หรืออวัยวะภายใน</p></li></ul>","<ul><li><p>- ใช้อุปกรณ์นิรภัยเมื่อต้องทำงานที่สูง เช่น หมวกนิรภัย สายรัดกันตก</p></li><li><p>- หลีกเลี่ยงกิจกรรมเสี่ยงโดยไม่มีอุปกรณ์ป้องกัน</p></li><li><p>- เดินระวังบริเวณที่พื้นต่างระดับ</p></li><li><p>- ติดตั้งราวกันตกในพื้นที่อันตราย</p></li></ul>","<ul><li><p>- ปวด บวม ฟกช้ำ หรือกระดูกผิดรูป</p></li><li><p>- อาการหมดสติ หรือสับสน</p></li><li><p>- เลือดออกภายนอกหรือภายใน</p></li><li><p>- หายใจลำบาก หรือเจ็บหน้าอก</p></li><li><p>- อัมพฤกษ์/อัมพาต หากกระดูกสันหลังได้รับผลกระทบ</p></li></ul>","<ul><li><p><strong>- ไม่ใช่โรคติดต่อ</strong> (เป็นอุบัติเหตุ)</p></li></ul>"
"45","บาดเจ็บจากการเล่นกีฬา (Sports injury)","การบาดเจ็บจากการเล่นกีฬา หมายถึง การบาดเจ็บที่เกิดขึ้นระหว่างการออกกำลังกายหรือเล่นกีฬา ซึ่งอาจเกิดขึ้นทันที (เฉียบพลัน) เช่น ข้อพลิก กล้ามเนื้อฉีก หรือเกิดแบบเรื้อรัง เช่น เอ็นอักเสบ จากการใช้งานซ้ำๆ

","5","Y93.69","<ul><li><p>มักเกิดจากการหกล้ม การปะทะ หรือการเคลื่อนไหวที่ผิดท่า</p></li><li><p>ส่วนใหญ่เกิดบริเวณ ข้อเท้า เข่า ข้อมือ ไหล่ หรือกล้ามเนื้อ</p></li><li><p>แบ่งเป็น 2 ประเภท:</p><ul><li><p><strong>- เฉียบพลัน</strong>: เช่น ข้อพลิก กล้ามเนื้อฉีก</p></li><li><p><strong>- เรื้อรัง</strong>: เช่น เอ็นอักเสบ พังผืดอักเสบ</p></li></ul></li></ul>","<ul><li><p>- อบอุ่นร่างกายก่อนเล่นกีฬา</p></li><li><p>- ใช้อุปกรณ์ป้องกันที่เหมาะสม</p></li><li><p>- หยุดเล่นหากมีอาการเจ็บ</p></li><li><p>- ออกกำลังกายอย่างถูกวิธี</p></li><li><p>- เสริมสร้างกล้ามเนื้อให้แข็งแรงอย่างสม่ำเสมอ</p></li></ul>","<ul><li><p>- ปวด บวม แดง ร้อน บริเวณที่บาดเจ็บ</p></li><li><p>- ขยับลำบาก หรือเคลื่อนไหวแล้วเจ็บ</p></li><li><p>- กล้ามเนื้ออ่อนแรง</p></li><li><p>- ฟกช้ำ หรือข้อผิดรูป (ในกรณีรุนแรง)</p></li></ul>","<ul><li><p>- ไม่ใช่โรคติดต่อ (เกิดจากอุบัติเหตุหรือการใช้งาน)</p></li></ul>"
"46","ก้างปลาติดคอ (Foreign body in pharynx)","ก้างปลาติดคอ คือ ภาวะที่มีก้างปลาหรือสิ่งแปลกปลอมติดอยู่ในลำคอ ทำให้เกิดอาการระคายเคือง เจ็บ หรือรู้สึกไม่สบายบริเวณคอ ซึ่งอาจก่อให้เกิดการอักเสบหรือบาดแผลได้ หากไม่ถูกนำออกอย่างเหมาะสม","5","T17.22XA","<ul><li><p>- เกิดจากการกลืนก้างปลาหรือสิ่งแปลกปลอมโดยไม่ตั้งใจ</p></li><li><p>- ก้างปลาที่ติดคออาจฝังในเยื่อบุช่องปาก ลิ้นไก่ คอหอย หรือกล่องเสียง</p></li><li><p>- หากไม่เอาออกอาจนำไปสู่การอักเสบ ติดเชื้อ หรือเป็นฝี</p></li></ul>","<ul><li><p>- เคี้ยวอาหารให้ละเอียดก่อนกลืน</p></li><li><p>- หลีกเลี่ยงการพูดหรือหัวเราะขณะรับประทานปลา</p></li><li><p>- หลีกเลี่ยงการกลืนข้าวเหนียวหรือกล้วยเพื่อดันก้างออก — อาจทำให้ก้างลึกขึ้น</p></li><li><p>- หากติดคอ ควรรีบพบแพทย์ ไม่ควรแคะหรือพยายามเอาออกเอง</p></li></ul>","<ul><li><p>- เจ็บหรือระคายเคืองในลำคอ</p></li><li><p>- รู้สึกเหมือนมีอะไรติดในคอ</p></li><li><p>- กลืนลำบากหรือกลืนแล้วเจ็บ</p></li><li><p>- อาจมีเลือดออกเล็กน้อย</p></li><li><p>- ไอหรือสำลัก</p></li></ul>","<ul><li><p>- ไม่ใช่โรคติดต่อ</p></li></ul>"
"47","บาดเจ็บจากของมีคม (Contact with sharp object)","การบาดเจ็บจากของมีคม คือการที่วัตถุแหลมคม เช่น มีด แก้ว เหล็ก หรือโลหะ บาดเข้าไปในผิวหนังหรือเนื้อเยื่อ อาจทำให้เกิดแผลเปิด มีเลือดออก เจ็บปวด และเสี่ยงติดเชื้อ","5","W29.XXXA","<ul><li><p>- แผลมักเป็นเส้นตรง ขอบเรียบ</p></li><li><p>- ความลึกและขนาดของแผลขึ้นอยู่กับแรงและมุมของของมีคม</p></li><li><p>- อาจเกิดการตัดเส้นเลือด เส้นประสาท หรือเอ็น</p></li><li><p>- เสี่ยงติดเชื้อหากของมีคมสกปรก หรือแผลไม่ได้รับการดูแลอย่างเหมาะสม</p></li></ul>","<ul><li><p>- ใช้อุปกรณ์ป้องกัน เช่น ถุงมือ หรือรองเท้านิรภัย</p></li><li><p>- จัดเก็บของมีคมให้ปลอดภัย</p></li><li><p>- หลีกเลี่ยงการเล่นหรือสัมผัสของมีคมโดยไม่จำเป็น</p></li><li><p>- หากเกิดบาดแผล ควรล้างแผลทันทีและปิดแผลอย่างถูกวิธี</p></li><li><p>- ไปพบแพทย์หากแผลลึกหรือใหญ่</p></li></ul>","<ul><li><p>- เจ็บแผล บวม แดง</p></li><li><p>- เลือดออก (มากหรือน้อย)</p></li><li><p>- หากลึกมาก อาจเห็นไขมัน กล้ามเนื้อ หรือกระดูก</p></li><li><p>- อาจมีอาการชา หากเส้นประสาทถูกตัด</p></li><li><p>- อาจมีไข้ ถ้าแผลติดเชื้อ</p></li></ul>","<ul><li><p>- ไม่ใช่โรคติดต่อ</p></li><li><p>- แต่ถ้าแผลสัมผัสเลือดหรือสารคัดหลั่งของผู้ติดเชื้อ HIV หรือไวรัสตับอักเสบ อาจเสี่ยงติดเชื้อได้</p></li></ul>"
"49","asdasd","asd","1","asd","<p></p>","<p></p>","<p></p>","<p></p>"
