"MedicationID","MedicationName","GenericName","DosageForm","Strength","Indications","SideEffects","Contraindications","SymptomsDrugAllergies","TreatDrugAllergies"
"1","Lamisil","Terbinafine","เม็ด","250 mg","รักษาเชื้อราที่ผิวหนัง เช่น กลากเกลื้อน เชื้อราที่เท้า และเชื้อราที่เล็บ","คลื่นไส้","โรคตับรุนแรง (สำหรับยารับประทาน)","ผื่นแดง  คันตามผิวหนัง  บวมบริเวณหน้า ริมฝีปาก ลิ้น หรือคอ  หายใจลำบาก  มีไข้ร่วมกับอาการผิวหนังพุพอง หรือผิวลอก (เป็นอาการแพ้รุนแรง)","หยุดยา ทันทีที่พบอาการแพ้

พบแพทย์หรือไปโรงพยาบาล ทันทีหากมีอาการรุนแรง เช่น หายใจลำบากหรือบวมที่ใบหน้า

อาจได้รับการรักษาด้วย ยาต้านฮีสตามีน หรือ ยาสเตียรอยด์ ขึ้นกับระดับความรุนแรง

ในกรณีแพ้รุนแรง (anaphylaxis) แพทย์อาจต้องใช้ Epinephrine (อะดรีนาลีน)"
"4","Norvasc","Amlodipine","เม็ด","5 mg, 10 mg","รักษาความดันโลหิตสูง, ป้องกันโรคหลอดเลือดหัวใจ","ขาบวม, เวียนหัว, ใจสั่น","ผู้แพ้ยาในกลุ่ม calcium channel blockers","ผื่น, หายใจลำบาก, หน้าบวม","หยุดยา, พบแพทย์, ให้ยาแก้แพ้หรืออะดรีนาลีนในกรณีรุนแรง"
"5","Famvir","Famciclovir","เม็ด","500 mg","รักษางูสวัด, เริม, อีสุกอีใส","คลื่นไส้ อาเจียน ปวดศีรษะ ท้องเสีย ปวดท้อง","ผู้ที่แพ้ยาในกลุ่ม antiviral, ผู้ป่วยไตวายรุนแรง","ผื่นลมพิษ หายใจลำบาก บวมรอบตา/ปาก","หยุดยา พบแพทย์ทันที ให้ยาต้านอาการแพ้ (antihistamine, corticosteroids) และดูแลระบบทางเดินหายใจหากมีอาการรุนแรง"
"6","Cetirizine","Cetirizine","เม็ด","10 mg","บรรเทาอาการคันจากการแพ้ แมลงกัด หรือระคายเคืองผิว","ง่วงนอน","ห้ามใช้กับผู้แพ้ส่วนประกอบของยา","ผื่นลมพิษ  หายใจลำบาก  หน้าบวม ปากบวม ตาบวม  ช็อกจากการแพ้รุนแรง (anaphylaxis)","หยุดใช้ยาทันที

รับประทานยาแก้แพ้ (เช่น Diphenhydramine)

หากรุนแรงต้อง รีบนำส่งโรงพยาบาล และอาจต้องฉีด Epinephrine"
"7","Augmentin","Amoxicillin + Clavulanic acid","เม็ด","500 mg","รักษาการติดเชื้อแบคทีเรียในผิวหนัง เช่น ฝี, หนอง, แผลติดเชื้อ","คลื่นไส้ อาเจียน  ท้องเสีย  ผื่นแพ้  เจ็บท้อง","ห้ามใช้ในผู้ที่แพ้ยาเพนิซิลลิน  ผู้มีประวัติโรคตับรุนแรง","ผื่นลมพิษ  หายใจติดขัด  หน้าบวม คอบวม  ช็อกจากการแพ้ (anaphylaxis)","หยุดยาและพบแพทย์ทันที

ให้ยาแก้แพ้ เช่น Diphenhydramine

ในกรณีรุนแรงฉีด Epinephrine และเข้ารับการรักษาในโรงพยาบาล

"
"8","Clarityne","Loratadine","เม็ด","10 mg","บรรเทาอาการคัน และผื่นจากลมพิษ  ใช้ในผู้ที่มีอาการแพ้เรื้อรัง เช่น จาม น้ำมูกไหล","ง่วงซึม (พบได้น้อยกว่ารุ่นเก่า)  ปากแห้ง  เวียนศีรษะ  ปวดศีรษะ","ห้ามใช้ในผู้ที่แพ้ Loratadine หรือสารในตัวยา  หญิงตั้งครรภ์ควรปรึกษาแพทย์ก่อนใช้","ผื่นแดงทั่วตัว  หายใจติดขัด  หน้าบวม ลิ้นบวม  แน่นหน้าอก","หยุดยาโดยทันที

พบแพทย์ด่วน

ให้ยาต้านการแพ้ เช่น Diphenhydramine

หากรุนแรงอาจต้องฉีด Epinephrine"
"9","Zovirax","Acyclovir","เม็ด","800 mg","ใช้รักษาการติดเชื้อไวรัส VZV  ลดความรุนแรงของโรค และป้องกันภาวะแทรกซ้อน","คลื่นไส้ อาเจียน  เวียนศีรษะ  ผื่นแพ้  ท้องเสีย","ห้ามใช้ในผู้แพ้ Acyclovir หรือยากลุ่มเดียวกัน  ควรปรึกษาแพทย์ก่อนใช้ในหญิงตั้งครรภ์หรือให้นมบุตร  ระวังการใช้ในผู้มีปัญหาไต","ผื่นแดง  ลมพิษ  หน้าบวม  หายใจลำบาก","หยุดใช้ยาทันที

รีบพบแพทย์หรือไปโรงพยาบาล

อาจได้รับยาแก้แพ้ หรือฉีดอะดรีนาลีนในกรณีรุนแรง"
"10","Tamiflu","Oseltamivir","เม็ด","75 mg","รักษาอาการไข้หวัดใหญ่ชนิด A และ B  ใช้ในช่วง 48 ชั่วโมงแรกของการเริ่มมีอาการ เพื่อผลการรักษาที่ดีที่สุด","คลื่นไส้ อาเจียน  ปวดท้อง  วิงเวียน  อาการทางจิต เช่น หงุดหงิด หรือสับสน (พบได้น้อยในเด็ก)","ผู้แพ้ยา Oseltamivir  หญิงตั้งครรภ์และให้นมบุตรควรปรึกษาแพทย์ก่อนใช้ยา","ผื่น ลมพิษ  หายใจลำบาก  หน้าบวม ริมฝีปากบวม","หยุดใช้ยา

ให้ยาแก้แพ้ เช่น Diphenhydramine

หากรุนแรง ให้ฉีด Epinephrine และนำส่งโรงพยาบาลทันที

"
"11","Bactroban","Mupirocin","ทา","2%","รักษาแผลติดเชื้อแบคทีเรียที่ผิวหนัง เช่น แผลผุพองอักเสบ","ระคายเคืองผิวหนังบริเวณที่ทา  แสบหรือคันเล็กน้อย  ผื่นแพ้","แพ้ยา Mupirocin หรือส่วนประกอบในยา  ห้ามใช้ในบริเวณตาหรือเยื่อเมือก","ผื่นลมพิษ  บวมใบหน้า หรือปาก  หายใจลำบาก","หยุดใช้ยา

ใช้ยาแก้แพ้ เช่น antihistamines

หากรุนแรง อาจต้องรับการรักษาในโรงพยาบาล"
"12","Paracetamol","Paracetamol (Acetaminophen)","เม็ด","500 mg","ลดไข้  บรรเทาอาการปวด","มีโอกาสเกิดความเสียหายที่ตับหากใช้เกินขนาด","แพ้พาราเซตามอล  ผู้ที่มีโรคตับรุนแรงควรระวัง","ผื่นลมพิษ  บวมหน้าหรือริมฝีปาก  หายใจลำบาก","หยุดใช้ยา

รับประทานยาต้านฮิสตามีน (Antihistamines)

รีบพบแพทย์หากอาการรุนแรง"
"13","Erythromycin Eye Ointment","Erythromycin","ทา","0.5%","รักษาและป้องกันการติดเชื้อแบคทีเรียบริเวณดวงตา เช่น กุ้งยิง","ระคายเคืองตาชั่วคราว  ตาแห้งหรือแสบตา","แพ้ยากลุ่ม Macrolides  ระวังการใช้ในผู้ที่แพ้ส่วนประกอบยา","ตาแดงบวมมากขึ้น  ตาแสบหรือมีน้ำตาไหลมากผิดปกติ  ผื่นหรือบวมบริเวณใบหน้า","หยุดใช้ยา

ล้างตาด้วยน้ำสะอาด

รับประทานยาต้านฮิสตามีน หรือพบแพทย์ทันที"
"14","Acyclovir","Acyclovir","เม็ด","400 mg","รักษาโรคเริมในระยะเฉียบพลันและป้องกันการกลับมาเกิดซ้ำของเริม","คลื่นไส้ อาเจียน  ปวดศีรษะ  ผื่น คัน  อาการแพ้ยาในบางราย","ผู้แพ้ยา Acyclovir หรือส่วนประกอบใด ๆ ของยา  ผู้ที่มีปัญหาการทำงานของไตอย่างรุนแรงควรแจ้งแพทย์ก่อนใช้ยา","ผื่นแดง บวม คัน  หายใจลำบาก เวียนศีรษะ  บวมที่ใบหน้า ริมฝีปาก หรือคอ (อาการแพ้รุนแรงต้องรีบพบแพทย์ทันที)","หยุดใช้ยา

ล้างบริเวณที่แพ้ด้วยน้ำสะอาด

ใช้ยาต้านฮิสตามีนหรือรับการรักษาจากแพทย์ทันที"
"15","Loratadine","Loratadine","เม็ด","10 mg","บรรเทาอาการแพ้ เช่น คัดจมูก จาม คันตา น้ำมูกไหล","ง่วงนอนเล็กน้อย (น้อยกว่ายาแก้แพ้รุ่นเก่า)  ปากแห้ง  ปวดศีรษะ","ผู้แพ้ยา Loratadine หรือส่วนประกอบยา  สตรีมีครรภ์หรือให้นมบุตร ควรปรึกษาแพทย์ก่อนใช้","ผื่นคัน บวม  หายใจลำบาก เวียนศีรษะ","หยุดใช้ยา

รับประทานยาต้านฮิสตามีนหรือพบแพทย์ทันที"
"16","Paracetamol","Paracetamol","เม็ด","500 mg","บรรเทาอาการปวดและลดไข้","แพ้ยา ผื่น  คลื่นไส้ อาเจียน (พบได้น้อย)","ผู้แพ้ยา Paracetamol หรือส่วนประกอบในยา  ผู้ที่มีโรคตับรุนแรงควรใช้ด้วยความระมัดระวัง","ผื่นคัน บวม  หายใจลำบาก  เวียนศีรษะ","หยุดใช้ยา

รับประทานยาต้านฮิสตามีน หรือพบแพทย์ทันที

"
"17","Amoxicillin","Amoxicillin","เม็ด","500 mg","รักษาการติดเชื้อแบคทีเรีย เช่น ต่อมทอนซิลอักเสบจากเชื้อ Streptococcus","คลื่นไส้ อาเจียน ท้องเสีย  ผื่น  ภาวะแพ้ยารุนแรง (anaphylaxis) ในบางราย","แพ้ยาในกลุ่ม Penicillin  ห้ามใช้ร่วมกับยาบางชนิด เช่น Allopurinol","ผื่นแดง คัน  หายใจลำบาก  หน้าบวม ปากบวม","หยุดใช้ยา

รีบไปพบแพทย์

ใช้ยาต้านฮิสตามีนหรือฉีด Epinephrine (ในรายรุนแรง)"
"18","Augmentin","Amoxicillin + Clavulanic acid","เม็ด","500 mg","รักษาการติดเชื้อแบคทีเรียในระบบทางเดินหายใจ เช่น ไซนัสอักเสบเฉียบพลันจากแบคทีเรีย","คลื่นไส้  ท้องเสีย  ผื่น  อาการแพ้ยาในบางราย","แพ้ยาในกลุ่ม Penicillin หรือ Clavulanic acid  มีประวัติตับอักเสบจากการใช้ยานี้","ผื่นลมพิษ  หายใจลำบาก  บวมบริเวณใบหน้า ลิ้น หรือคอ","หยุดยา

ให้ยาต้านฮิสตามีน

รีบพบแพทย์ หากมีอาการรุนแรงให้ฉีด Epinephrine ทันที"
"19","Chlorhexidine Mouthwash","Chlorhexidine Gluconate","น้ำ","0.12%","ลดการสะสมของแบคทีเรีย ลดการอักเสบของเหงือก","เปลี่ยนสีฟัน (ชั่วคราว)  รสชาติเปลี่ยน  ระคายเคืองในช่องปาก","แพ้ Chlorhexidine  ห้ามกลืนยา","ผื่น คันในช่องปาก  ลิ้นบวม ปากบวม  หายใจลำบาก (ในกรณีรุนแรง)","หยุดใช้ยา

ล้างปากด้วยน้ำเปล่า

รับประทานยาแก้แพ้ เช่น ยาต้านฮิสตามีน

รีบพบแพทย์หากอาการไม่ดีขึ้น"
"20","Methimazole","Methimazole","เม็ด","5 mg","รักษาภาวะไทรอยด์ทำงานเกิน (ไทรอยด์เป็นพิษ)","ผื่น  คัน  เม็ดเลือดขาวต่ำ  ตับอักเสบ","ผู้ที่มีประวัติแพ้ Methimazole  ผู้ที่มีภาวะเม็ดเลือดขาวต่ำ","ผื่นลมพิษ  หายใจลำบาก  หน้าบวม ริมฝีปากบวม","หยุดใช้ยา

ให้ยาต้านฮิสตามีน

หากมีอาการรุนแรง เช่น หายใจลำบาก รีบไปโรงพยาบาลทันที

"
"21","Midodrine","Midodrine","เม็ด","2.5 mg","เพิ่มความดันโลหิตในผู้ป่วยที่มีภาวะความดันต่ำเรื้อรัง","รู้สึกร้อนวูบวาบ  คันหนังศีรษะ  ปวดหัว  ปัสสาวะบ่อย","ผู้ที่มีภาวะความดันโลหิตสูง  โรคหัวใจขาดเลือด  โรคตับและไตรุนแรง","ผื่น คัน  หายใจลำบาก  บวมบริเวณใบหน้า ริมฝีปาก","หยุดใช้ยา

รับประทานยาต้านฮิสตามีน

หากอาการรุนแรง ควรรีบไปโรงพยาบาลทันที"
"22","Artificial Tears","Carboxymethylcellulose หรือ Hydroxypropyl methylcellulose","น้ำ","1%","ช่วยบรรเทาอาการระคายเคืองในตา ไม่สามารถรักษาเลือดออกได้โดยตรง แต่ช่วยลดความไม่สบายตา","ตาแสบเล็กน้อยชั่วคราว  มองเห็นภาพเบลอหลังหยอดในช่วงสั้นๆ","แพ้ส่วนประกอบในน้ำตาเทียม","ตาบวม คัน  ตาแดงมากขึ้น  มีผื่นบริเวณรอบดวงตา","หยุดใช้ทันที

ล้างตาด้วยน้ำสะอาด

พบแพทย์หรือจักษุแพทย์เพื่อรับยาต้านอาการแพ้"
"23","Loperamide","Loperamide Hydrochloride","เม็ด","2 mg","รักษาอาการท้องร่วงเฉียบพลัน โดยลดการบีบตัวของลำไส้","ท้องผูก  เวียนศีรษะ  ปวดท้อง อึดอัดท้อง  อ่อนเพลีย","ห้ามใช้ในเด็กอายุต่ำกว่า 2 ปี  ห้ามใช้หากมีอาการท้องเสียที่มีเลือดปนหรือมีไข้  ห้ามใช้ในผู้ป่วยที่มีภาวะลำไส้อักเสบเฉียบพลัน (เช่น Dysentery)","ผื่น ลมพิษ  หายใจลำบาก  หน้าบวม ตาบวม","หยุดใช้ยา

รับประทานยาต้านฮิสตามีน

พบแพทย์ทันทีหากมีอาการหายใจติดขัดหรือบวมมาก"
"24","Metronidazole","Metronidazole","เม็ด","500 mg","รักษาโรคบิดที่เกิดจากโปรโตซัว (Amoebic dysentery) และการติดเชื้อแบคทีเรียในลำไส้","คลื่นไส้ เบื่ออาหาร  ปากแห้ง หรือมีรสโลหะในปาก  ปวดหัว  ปัสสาวะสีเข้ม","ห้ามใช้ในหญิงตั้งครรภ์ไตรมาสแรก  ห้ามดื่มแอลกอฮอล์ขณะใช้ยา  ห้ามใช้ในผู้ที่แพ้ยานี้","ผื่นขึ้น คัน ลมพิษ  หายใจลำบาก  หน้าบวม ปากบวม","หยุดใช้ยา

พบแพทย์ทันที

รับยาต้านฮิสตามีนหรือฉีดยาแก้แพ้ตามแพทย์สั่ง"
"25","Inderal","Propranolol","เม็ด","10 mg","รักษาอาการใจสั่น หัวใจเต้นผิดจังหวะ และความดันโลหิตสูง","อ่อนเพลีย  เวียนศีรษะ  หัวใจเต้นช้า  มือเท้าเย็น","ห้ามใช้ในผู้ป่วยหอบหืดรุนแรง  ผู้มีภาวะหัวใจเต้นช้าผิดปกติ  ผู้ที่แพ้ยานี้","ผื่น คัน ลมพิษ  หายใจลำบาก  หน้าบวม","หยุดยา

ให้ยาต้านฮิสตามีน

พบแพทย์ทันทีหากมีอาการรุนแรง"
"26","Niclosamide","Niclosamide","เม็ด","500 mg","ใช้รักษาการติดเชื้อพยาธิตัวตืดในลำไส้","คลื่นไส้ อาเจียน  ปวดท้อง  ท้องเสียเล็กน้อย  ผื่นแพ้ยาในบางราย","ห้ามใช้ในผู้ที่แพ้ Niclosamide  หลีกเลี่ยงในหญิงตั้งครรภ์ช่วง 3 เดือนแรก","ผื่น ลมพิษ  หายใจลำบาก  หน้าบวม ปากบวม","หยุดยา

ให้ยาแก้แพ้ เช่น antihistamine

หากอาการรุนแรงให้พบแพทย์ด่วน"
"27","Mebendazole","Mebendazole","เม็ด","100 mg","รักษาการติดเชื้อพยาธิเส้นด้ายในลำไส้","ปวดศีรษะ  เวียนศีรษะ  คลื่นไส้ อาเจียน  ท้องเสีย","หญิงตั้งครรภ์ โดยเฉพาะไตรมาสแรก  ผู้แพ้ยากลุ่ม benzimidazole","ผื่น ลมพิษ  บวมใบหน้า ริมฝีปาก หรือคอ  หายใจลำบาก","หยุดยา

ให้ยาแก้แพ้ เช่น antihistamine

พบแพทย์ทันทีในกรณีรุนแรง"
"28","Nitrofurantoin","Nitrofurantoin","เม็ด","100 mg","รักษาและป้องกันการติดเชื้อในทางเดินปัสสาวะ","คลื่นไส้  ปวดศีรษะ  อาการแพ้ผิวหนัง  อาการไอหรือหายใจลำบากในบางราย","ผู้ที่มีโรคไตเรื้อรัง  ผู้ที่แพ้ Nitrofurantoin","ผื่น ลมพิษ  บวมใบหน้า ริมฝีปาก หรือคอ  หายใจลำบาก","หยุดยา

ให้ยาแก้แพ้ เช่น antihistamine

พบแพทย์ทันทีในกรณีรุนแรง"
"29","Azithromycin","Azithromycin","เม็ด","500 mg","รักษาโรคติดเชื้อแบคทีเรียในโรคติดต่อทางเพศสัมพันธ์ เช่น คลามีเดีย","คลื่นไส้ อาเจียน  ท้องเสีย  ปวดท้อง  ผื่นแพ้","ผู้ที่แพ้กลุ่ม Macrolides  หญิงตั้งครรภ์หรือให้นมบุตรควรปรึกษาแพทย์ก่อนใช้","ผื่น ลมพิษ  บวมใบหน้า ริมฝีปาก หรือลำคอ  หายใจลำบาก","หยุดใช้ยา

ให้ยาแก้แพ้ เช่น antihistamine

พบแพทย์ทันทีในกรณีรุนแรง"
"30","Allopurinol","Allopurinol","เม็ด","300 mg","ลดระดับกรดยูริกในเลือด รักษาและป้องกันเกาต์","ผื่นแพ้  ปวดศีรษะ  ปัญหาเกี่ยวกับตับหรือไตในบางราย","แพ้ยา Allopurinol  ผู้ป่วยที่มีปัญหาไตรุนแรงควรระวัง","ผื่นแดง ลมพิษ  บวมใบหน้า คอหรือริมฝีปาก  หายใจลำบาก","หยุดใช้ยา

ใช้ยาแก้แพ้และพบแพทย์ทันที"
"31","Hydrocortisone Cream","Hydrocortisone","ทา","1%","ลดการอักเสบและอาการคันจากริดสีดวงทวาร","ผิวหนังบางลงเมื่อใช้ระยะยาว  ระคายเคืองหรือแสบผิวหนัง","แพ้ยากลุ่มสเตียรอยด์  ห้ามใช้ในบริเวณที่มีแผลเปิดหรือการติดเชื้อ","ผื่นแดง บวม ผิวหนังลอก  คันหรือแสบรุนแรง","หยุดใช้ยา

ใช้ยาแก้แพ้

ปรึกษาแพทย์ทันทีหากอาการรุนแรง"
"32","Metronidazole","Metronidazole","น้ำ","500 mg","รักษาการติดเชื้อแบคทีเรียและปรสิตในลำไส้","คลื่นไส้  ปวดศีรษะ  รสชาติในปากเปลี่ยนไป","ห้ามใช้ร่วมกับแอลกอฮอล์  หญิงตั้งครรภ์ในไตรมาสแรกควรปรึกษาแพทย์ก่อนใช้ยา","ผื่นคัน  บวมที่ใบหน้า  หายใจลำบาก","หยุดใช้ยา

พบแพทย์ทันที

อาจให้ยาแก้แพ้หรือยาฉีดเพื่อบรรเทาอาการ"
"33","Paracetamol","Paracetamol","เม็ด","500 mg","บรรเทาอาการปวดและลดไข้ในผู้ป่วยที่ได้รับบาดเจ็บจากรถล้ม  ใช้ในกรณีที่ไม่มีอาการอักเสบรุนแรงที่ต้องใช้ยาแก้อักเสบ","อาจเกิดอาการแพ้ เช่น ผื่นลมพิษ  ในกรณีใช้ยาปริมาณสูงอาจทำให้ตับได้รับความเสียหาย","ผู้ที่แพ้พาราเซตามอล  ผู้ที่มีโรคตับรุนแรง","ผื่นแดง คัน  บวมบริเวณใบหน้า หรือริมฝีปาก  หายใจลำบาก หรือเสียงหายใจเปลี่ยนไป  เวียนศีรษะหมดสติ","หยุดใช้ยาทันที

รับประทานยาต้านฮิสตามีน (Antihistamine)

หากมีอาการรุนแรง เช่น หายใจลำบาก ต้องรีบพบแพทย์ด่วน"
"34","Paracetamol","Paracetamol","เม็ด","500 mg","บรรเทาอาการปวด บวม และไข้ เช่น อาการปวดกล้ามเนื้อหรือปวดจากการบาดเจ็บ","คลื่นไส้ วิงเวียนศีรษะ หรืออาการแพ้ (พบได้น้อย)","ผู้ที่เป็นโรคตับหรือแพ้ยานี้","ผื่น ลมพิษ หายใจลำบาก หน้าบวม","หยุดยา ทานยาต้านฮิสตามีน และรีบพบแพทย์"
"35","Ibuprofen","Ibuprofen","เม็ด","400 mg","บรรเทาอาการปวดและลดการอักเสบจากกล้ามเนื้อหรือข้อต่อที่บาดเจ็บ","ปวดท้อง คลื่นไส้ เลือดออกในกระเพาะอาหาร (ในบางราย)","ผู้มีประวัติโรคกระเพาะอาหาร โรคไต หรือแพ้ NSAIDs","หายใจลำบาก ผื่น ลมพิษ บวมที่หน้าและลำคอ","หยุดยา ทานยาต้านฮิสตามีน รีบพบแพทย์ทันที"
"36","Chlorpheniramine","Chlorpheniramine Maleate","เม็ด","4 mg","บรรเทาอาการบวม อักเสบ และแพ้บริเวณลำคอ หากเกิดอาการแพ้หรือระคายเคืองจากก้าง","ง่วงซึม ปากแห้ง มึนศีรษะ","ห้ามใช้ในผู้ที่แพ้ยากลุ่ม antihistamines","ผื่น ลมพิษ หายใจติดขัด หรือบวมที่หน้า/ปาก","หยุดยา รับประทานยาต้านฮิสตามีนอื่น หรือรีบพบแพทย์ทันที"
"37","Amoxicillin","Amoxicillin","เม็ด","500 mg","ป้องกันและรักษาการติดเชื้อแบคทีเรียในแผล","ท้องเสีย คลื่นไส้ ผื่น","แพ้ยาในกลุ่มเพนิซิลลิน (Penicillin)","หายใจติดขัด ผื่นลมพิษ หน้าบวม ปากบวม","หยุดยา รับประทานยาต้านฮิสตามีน พบแพทย์ทันที"
"39","Canesten cream","Clotrimazole","ทา","1%","รักษากลาก เกลื้อน เชื้อราที่ผิวหนัง เชื้อราขาหนีบ เชื้อราที่เท้า","คัน แสบร้อน แดง ลอกบริเวณที่ทา อาการเหล่านี้มักหายได้เอง","ห้ามใช้หากมีประวัติแพ้ตัวยานั้นๆ ห้ามทาบริเวณแผลเปิดหรือรอบดวงตา","ผื่นแดงมาก คันรุนแรง แสบ พอง หรือผิวหนังลอกผิดปกติ","หยุดใช้ยาทันที ล้างยาด้วยน้ำสะอาด พบแพทย์เพื่อรับยาแก้แพ้ หากรุนแรงให้พบแพทย์ด่วน"
"40","Zovirax","Acyclovir","ทา","5%","ใช้รักษาการติดเชื้อไวรัส เช่น เริมที่ริมฝีปาก, เริมที่อวัยวะเพศ, งูสวัด ในระยะเริ่มต้น","คัน ระคายเคือง แสบเล็กน้อย ผิวแห้งลอกบริเวณที่ทา","ห้ามใช้ในผู้ที่แพ้ Acyclovir หรือส่วนประกอบในยา ห้ามใช้ในดวงตา ปาก หรือภายในช่องคลอด","ผื่นแดง คัน บวมบริเวณที่ทา หายใจลำบาก (ในกรณีแพ้รุนแรง)","หยุดใช้ยา ทายาลดการอักเสบ (ตามแพทย์สั่ง), หากแพ้รุนแรงควรรีบพบแพทย์ทันทีเพื่อรับยาต้านอาการแพ้หรือฉีด Adrenaline"
"41","Calamine Lotion","Calamine","ทา","15%","บรรเทาอาการคัน ระคายเคือง","ผิวแห้ง, เย็น","แพ้ส่วนผสม","ผื่นแดง คันลุกลาม","หยุดใช้ ทายาลดอักเสบ พบแพทย์หากไม่ดีขึ้น"
"42","Calamine Lotion","Calamine","ทา","15%","บรรเทาอาการคันและระคายเคืองผิว","ผิวแห้ง","ห้ามใช้ในผู้แพ้ส่วนประกอบ","ผื่นแดง คัน","หยุดใช้ยา ทายาอื่นตามคำแนะนำแพทย์
"
"43","Calamine Lotion","Calamine","ทา","15%","บรรเทาอาการคันและระคายเคืองผิว","ผิวแห้ง","แพ้ส่วนประกอบของโลชั่น","ผื่นแดง คัน","หยุดใช้ยา ทายาอื่นตามคำแนะนำแพทย์"
"44","Paracetamol","Paracetamol","เม็ด","500 mg","บรรเทาอาการปวดจากแผลและไข้","คลื่นไส้ ปวดท้อง","แพ้พาราเซตามอล","ผื่น ลมพิษ","หยุดยา ยาทดแทนตามคำแนะนำแพทย์"
"45","Paracetamol","Paracetamol","เม็ด","500 mg","บรรเทาอาการปวดถ้ามี","คลื่นไส้ ปวดท้อง","แพ้พาราเซตามอล","ผื่น ลมพิษ","หยุดยา ยาทดแทนตามคำแนะนำแพทย์"
"46","Flonase","Fluticasone Propionate","พ่น","50 mcg","ลดอาการอักเสบและคัดจมูกจากภูมิแพ้","แสบจมูก แสบคอ","แพ้ Fluticasone","แสบคอ แดง คัน","หยุดยา พบแพทย์ทันที"
"47","Nurofen","Ibuprofen","เม็ด","200 mg","ลดไข้ ลดปวด ลดการอักเสบ","ปวดท้อง แสบกระเพาะอาหาร","แพ้ไอบูโพรเฟน","ผื่น แดง บวม","หยุดยา พบแพทย์ทันที"
"48","Flonase","Fluticasone Propionate","พ่น","50 mcg","ลดการอักเสบในโพรงจมูกและไซนัส","แสบจมูก แสบคอ","แพ้ Fluticasone","แสบคอ แดง คัน","หยุดยา พบแพทย์ทันที"
"49","Paracetamol","Paracetamol","เม็ด","500 mg","ลดปวดหากมีอาการปวดเหงือก","คลื่นไส้ ปวดท้อง","แพ้พาราเซตามอล","ผื่น ลมพิษ","หยุดใช้ ยาทดแทนตามแพทย์แนะนำ"
"50","Smecta","Diosmectite","ผง","3 g","เคลือบลำไส้ ลดอาการถ่ายเหลว","ท้องผูก ท้องอืด","ห้ามใช้ในผู้ที่ลำไส้อุดตัน","ผื่น คัน ปากบวม","หยุดยา พบแพทย์"
"51","ORS (เกลือแร่)","Oral Rehydration Salt","ผง","ตามสูตร WHO","ป้องกันการขาดน้ำ","ท้องอืด (ถ้าดื่มเร็ว)","ห้ามในภาวะน้ำท่วมปอด/ไตวายเฉียบพลัน","ระคายช่องปาก แน่นหน้าอก","ล้างปาก หยุดใช้ พบแพทย์"
"52","Colchicine","Colchicine","เม็ด","0.5 mg","รักษาและป้องกันเกาต์เฉียบพลัน","ท้องเสีย คลื่นไส้","โรคไตขั้นรุนแรง, หญิงตั้งครรภ์","ผื่น ลมพิษ คลื่นไส้","หยุดยา พบแพทย์ทันที"
"53","Paracetamol","Paracetamol","เม็ด","500 mg","บรรเทาอาการปวด","ปวดท้อง","ผู้ที่แพ้ยา","ผื่น, คัน","หยุดยา พบแพทย์ทันที"
"54","Diclofenac Gel","Diclofenac Sodium","ทา","1-3%","ลดอาการปวดและอักเสบเฉพาะที่","แสบหรือระคายเคืองผิวหนัง","แพ้ยาในกลุ่ม NSAIDs","ผื่น แดง บวม","ล้างออกและหยุดใช้ยา"
