"TreatmentID","TreatmentName","Description","Procedures","Duration","SideEffects","Contraindications"
"1","การรับประทานยาฆ่าเชื้อรา","ใช้ยารับประทานกรณีเชื้อราลุกลาม รุนแรง หรือไม่ตอบสนองต่อการทาเฉพาะที่","รับประทานยาตามที่แพทย์สั่งวันละ 1 ครั้ง
ตรวจการทำงานของตับก่อนและระหว่างใช้ยา","2–6 สัปดาห์ หรือมากกว่า","คลื่นไส้ ปวดหัว ผื่น ลมพิษ มีผลต่อตับ (ควรติดตามการทำงานของตับ)","ห้ามใช้ในผู้ป่วยโรคตับ โรคไต หญิงตั้งครรภ์ หรือผู้แพ้ตัวยา"
"3","รับประทานยา","รักษาเพื่อควบคุมไม่ให้ความดันสูงเกินไป

ป้องกันภาวะแทรกซ้อน เช่น หัวใจล้มเหลว ไตวาย

อาศัยทั้งการปรับพฤติกรรม + ยารักษาอย่างต่อเนื่อง","ตรวจวัดความดันอย่างสม่ำเสมอ

ปรับพฤติกรรม: ออกกำลังกาย, ลดเกลือ

ตรวจเลือด, ตรวจไต, ตรวจหัวใจ

รับประทานยาตามแพทย์สั่ง

ติดตามอาการทุก 3-6 เดือน","ป็นโรคเรื้อรัง ต้องรักษา ตลอดชีวิต  หากควบคุมได้ดี","ยาบางชนิดอาจทำให้:  อ่อนเพลีย  ขาบวม  เวียนศีรษะ  เสื่อมสมรรถภาพทางเพศในบางราย","หญิงตั้งครรภ์ (ยาบางกลุ่ม เช่น ACE inhibitors ห้ามใช้)  ผู้ป่วยโรคไตบางรายต้องระวัง  ห้ามหยุดยาด้วยตนเอง อาจเกิด rebound hypertension ได้"
"4","รับประทานยา","การรักษาโรคงูสวัดเน้นไปที่การ ลดการเพิ่มจำนวนของไวรัส, บรรเทาอาการปวด, และ ป้องกันภาวะแทรกซ้อน เช่น ปวดปลายประสาทเรื้อรัง (Postherpetic Neuralgia)
โดยใช้ ยาต้านไวรัส เป็นหลัก และอาจร่วมกับ ยาแก้ปวด หรือ ยาทาภายนอก ตามอาการของผู้ป่วย","วินิจฉัยจากอาการ เช่น ผื่นมีตุ่มน้ำใส เรียงตัวตามแนวเส้นประสาท

หากอยู่ในช่วง ไม่เกิน 72 ชั่วโมง หลังผื่นขึ้น:

สั่งจ่าย ยาต้านไวรัส เช่น Acyclovir, Valacyclovir, หรือ Famciclovir

ให้ยา แก้ปวด เช่น Paracetamol, Ibuprofen หรือยาเฉพาะทางสำหรับปวดเส้นประสาท (เช่น Gabapentin)

หากอาการรุนแรง: พิจารณาให้ ยาทาภายนอก เช่น ยาชาทา, คาลามายด์โลชั่น

ติดตามอาการเป็นระยะ โดยเฉพาะหากมีความเสี่ยงเกิดภาวะแทรกซ้อน","การรักษาด้วย ยาต้านไวรัส: 7–10 วัน  ผื่นและตุ่มน้ำ","ยาต้านไวรัส: คลื่นไส้ อาเจียน ปวดศีรษะ ผื่นแพ้ ผิวแห้ง  ยาแก้ปวด: ปวดท้อง แสบท้อง ง่วงนอน เวียนศีรษะ  ยาชาทาภายนอก: อาจเกิดผื่นคัน บางรายแพ้ส่วนผสม","ผู้ป่วยโรค ไตระยะรุนแรง: ต้องปรับขนาดยา  หญิงตั้งครรภ์และให้นมบุตร: ควรปรึกษาแพทย์ก่อนใช้ยา"
"5","ใช้ยาแก้แพ้","การรักษาผื่นคันขึ้นอยู่กับสาเหตุ หากเกิดจากภูมิแพ้ ใช้ยาแก้แพ้และยาทา หากเกิดจากเชื้อโรค ต้องใช้ยาฆ่าเชื้อร่วมด้วย และหลีกเลี่ยงสิ่งกระตุ้น","ตรวจสอบสาเหตุจากอาการหรือตรวจเพิ่มเติม

ให้ยาแก้แพ้ชนิดกินหรือชนิดทา

หากมีการติดเชื้อให้ยาต้านเชื้อร่วม

ให้คำแนะนำการดูแลผิวและหลีกเลี่ยงสิ่งกระตุ้น

ติดตามผลในกรณีผื่นเป็นเรื้อรัง

","อาการทั่วไป: 3–7 วัน  ผื่นเรื้อรัง: อาจใช้เวลาหลาย","ง่วง มึนหัว แห้งปาก","ห้ามใช้ยาสเตียรอยด์นานเกินไปโดยไม่มีแพทย์แนะนำ , ผู้มีโรคประจำตัว ควรแจ้งแพทย์ก่อนใช้ยาทุกชนิด"
"6","การระบายหนองและการรักษาด้วยยา","การรักษาฝีขึ้นอยู่กับความรุนแรง หากฝีมีขนาดเล็กอาจใช้เพียงยาปฏิชีวนะ แต่หากฝีมีขนาดใหญ่หรือไม่ยุบ อาจต้องทำการผ่าระบายหนอง","ตรวจวินิจฉัยตำแหน่งและขนาดของฝี

ถ้าขนาดเล็ก: ให้ยาปฏิชีวนะ

ถ้าขนาดใหญ่หรือมีหัว: ทำความสะอาดบริเวณฝี ฉีดยาชาเฉพาะที่ แล้วเจาะระบายหนอง

ใส่ผ้าก๊อซในแผลเพื่อป้องกันการปิดก่อนหนองหมด

ติดตามผลหลังการรักษา","หากใช้ยาปฏิชีวนะอย่างเดียว: 5–10 วัน  หากมีการผ่าต","เจ็บบริเวณที่ผ่า  มีแผลเป็นหลังแผลหาย  อาจมีการติดเชื้อซ้ำหากไม่ดูแลแผลให้ดี","ไม่ควรผ่าโดยไม่มีแพทย์ดูแล เพราะอาจทำให้ติดเชื้อลึกหรือลุกลาม  ห้ามใช้ยาปฏิชีวนะพร่ำเพรื่อ โดยไม่มีคำแนะนำจากแพทย์"
"7","รับประทานยา","ลมพิษมักรักษาได้ด้วยยาต้านฮีสตามีน หากลมพิษเรื้อรัง อาจต้องใช้ยากลุ่มอื่นร่วมด้วย เช่น ยาสเตียรอยด์ หรือยากดภูมิในบางกรณี","หาสาเหตุหรือสิ่งกระตุ้น

หลีกเลี่ยงสิ่งกระตุ้น

ให้ยาต้านฮีสตามีนชนิดไม่ง่วง

หากอาการรุนแรง อาจให้สเตียรอยด์ระยะสั้น

เฝ้าระวังอาการแพ้รุนแรง

","ลมพิษเฉียบพลัน: หายภายใน 1–3 วัน  ลมพิษเรื้อรัง: อ","ง่วง  ปากแห้ง  ท้องผูก  ในบางรายอาจเกิดอาการดื้อยา","ห้ามใช้ยากลุ่ม antihistamines ในเด็กเล็กโดยไม่มีคำแนะนำจากแพทย์  ผู้ป่วยที่มีโรคตับ/ไต ควรใช้ด้วยความระมัดระวัง"
"8","รับประทานยา","การรักษาโรคอีสุกอีใสเน้นที่การบรรเทาอาการ เช่น ลดไข้ ลดคัน และป้องกันภาวะแทรกซ้อน ยาต้านไวรัสอย่าง Acyclovir จะช่วยลดระยะเวลาการป่วย หากเริ่มใช้เร็วใน 24–48 ชั่วโมงแรก","ตรวจวินิจฉัยโดยแพทย์

ให้ยาต้านไวรัสถ้าจำเป็น (เช่นในผู้ใหญ่หรือผู้มีโรคแทรกซ้อน)

ให้ยาลดไข้ เช่น Paracetamol

ใช้ยาทาเพื่อลดอาการคัน เช่น Calamine lotion

แนะนำการดูแลตนเองและป้องกันการแพร่เชื้อ","ส่วนใหญ่หายภายใน 7–10 วัน  แผลอาจตกสะเก็ดและหายสนิ","จากยา: คลื่นไส้ ผื่น ปวดท้อง  จากการเกา: อาจเกิดแผลติดเชื้อ หรือเป็นแผลเป็น","ห้ามใช้ยา Acyclovir หากแพ้ยา  ห้ามใช้ยาลดไข้กลุ่มแอสไพรินในเด็ก เพราะเสี่ยงต่อ Reye’s Syndrome  ห้ามเกาตุ่ม เพราะเสี่ยงแผลติดเชื้อ"
"9","รับประทานยา","การรักษาไข้หวัดใหญ่เน้นที่การบรรเทาอาการ และให้ยาต้านไวรัสในกรณีที่จำเป็น โดยเฉพาะในผู้ป่วยกลุ่มเสี่ยง เพื่อป้องกันภาวะแทรกซ้อน เช่น ปอดบวม","ตรวจวินิจฉัยโดยแพทย์จากอาการหรือการตรวจ Rapid test

หากอยู่ในกลุ่มเสี่ยงหรืออาการรุนแรง อาจให้ยา Oseltamivir

ให้ยาลดไข้ เช่น Paracetamol

พักผ่อน ดื่มน้ำมาก ๆ

ติดตามอาการ หากไม่ดีขึ้นภายใน 3–5 วัน ให้พบแพทย์อีกครั้ง","ส่วนใหญ่หายภายใน 5–7 วัน  อาการอ่อนเพลียอาจคงอยู่ ","ยาต้านไวรัส: คลื่นไส้ ปวดศีรษะ  ยาลดไข้: ท้องเสีย ผื่น (ในบางราย)","ห้ามใช้ Oseltamivir ในผู้แพ้ยา  ห้ามใช้แอสไพรินในเด็กที่ติดเชื้อไวรัส เนื่องจากเสี่ยง Reye's Syndrome  หลีกเลี่ยงการให้ยาปฏิชีวนะโดยไม่จำเป็น เพราะไข้หวัดใหญ่เกิดจากไวรัส ไม่ใช่แบคทีเรีย"
"10","การทำความสะอาดแผลและป้องกันการติดเชื้อ รวมถึงการบรรเทาอาการอักเสบและเร่งการสมานแผล","เน้นการทำความสะอาดแผลอย่างถูกวิธีและใช้ยาปฏิชีวนะทาในกรณีติดเชื้อ พร้อมดูแลอาการอักเสบและป้องกันการแพร่กระจายเชื้อ","ล้างแผลด้วยน้ำสะอาดหรือสารละลายเกลือ

ใช้ครีมปฏิชีวนะตามคำแนะนำแพทย์

ปิดแผลด้วยผ้าก๊อซหรือผ้าพันแผลสะอาด

เปลี่ยนผ้าพันแผลทุกวัน หรือเมื่อเปียกชื้น

สังเกตอาการ หากมีไข้หรือแผลลุกลาม ให้พบแพทย์ทันที","โดยทั่วไปประมาณ 7-14 วัน ขึ้นกับความรุนแรงของแผลแล","ผิวหนังอาจมีอาการระคายเคืองบริเวณที่ทายา  บางรายอาจเกิดอาการแพ้ยา","กรณีหรือข้อควรระวังที่ไม่ควรใช้วิธีนี้ เช่น ห้ามใช้กับแผลลึก ห้ามใช้ในคนแพ้ยา"
"11","การรักษาตามอาการและการดูแลเพื่อป้องกันภาวะแทรกซ้อน","เน้นรักษาตามอาการ โดยการลดไข้และป้องกันภาวะแทรกซ้อน เช่น การขาดน้ำ หรือเลือดออกรุนแรง","ตรวจวินิจฉัยโดยแพทย์

ให้พักผ่อนมากๆ

ดื่มน้ำมากๆ เพื่อป้องกันการขาดน้ำ

ใช้ยา Paracetamol เพื่อลดไข้และบรรเทาปวด

หลีกเลี่ยงการใช้ยาแก้ปวด/ลดไข้กลุ่ม NSAIDs เช่น ไอบูโพรเฟน เพราะเสี่ยงเลือดออก

เฝ้าระวังอาการเลือดออกและช็อก หากมีอาการรุนแรงให้รีบนำส่งโรงพยาบาล","โดยทั่วไป 7-10 วัน อาการจะดีขึ้น","บางรายอาจมีภาวะแทรกซ้อนเลือดออก หรือช็อกจากไข้เลือดออก","ห้ามใช้ยาแก้ปวดลดไข้ที่มีผลต่อเกล็ดเลือด เช่น แอสไพริน และ NSAIDs  หลีกเลี่ยงยาที่มีผลเสียต่อการแข็งตัวของเลือด"
"12","การประคบร้อนและใช้ยาปฏิชีวนะทาตาเพื่อบรรเทาอาการและลดการติดเชื้อ","รักษาโดยการบรรเทาอาการอักเสบและติดเชื้อ ใช้วิธีประคบอุ่นและทายาปฏิชีวนะช่วยลดการติดเชื้อ","ใช้ผ้าชุบน้ำอุ่นประคบบริเวณกุ้งยิงวันละ 3-4 ครั้ง ครั้งละ 10-15 นาที

ทายา Erythromycin Eye Ointment บริเวณกุ้งยิงตามแพทย์สั่ง

หลีกเลี่ยงการขยี้ตาหรือสัมผัสตาด้วยมือสกปรก

รักษาความสะอาดมือและใบหน้า

หากตุ่มไม่ยุบหรือมีอาการรุนแรง ควรพบแพทย์เพื่อพิจารณาผ่าตัดระบายหนอง","ประมาณ 5-7 วัน ขึ้นอยู่กับความรุนแรง","ตาแสบหรือระคายเคืองเล็กน้อยจากการใช้ยา  บางรายอาจมีการติดเชื้อซ้ำหรือกุ้งยิงเรื้อรัง","หลีกเลี่ยงการใช้ยาทาที่มีส่วนผสมที่แพ้  ไม่ควรบีบหรือกดตุ่มกุ้งยิงเอง เพราะเสี่ยงติดเชื้อเพิ่ม"
"13","รับประทานยา","การใช้ยา Acyclovir เพื่อยับยั้งการเพิ่มจำนวนของไวรัสและลดอาการเจ็บปวด พร้อมดูแลรักษาความสะอาดบริเวณแผล","รับประทานยา Acyclovir ตามขนาดและระยะเวลาที่แพทย์กำหนด

ทายาเฉพาะที่บริเวณแผลถ้าจำเป็น

รักษาความสะอาดและหลีกเลี่ยงการสัมผัสแผล

หากมีอาการแทรกซ้อนหรืออาการไม่ดีขึ้น ให้รีบปรึกษาแพทย์","ประมาณ 7-10 วัน ขึ้นกับความรุนแรงของโรค","คลื่นไส้ ปวดศีรษะ  แผลหายช้าในบางราย  อาการแพ้ยาในบางราย","ไม่ควรหยุดยาก่อนครบกำหนดโดยไม่ปรึกษาแพทย์  ผู้ที่แพ้ยา Acyclovir ห้ามใช้"
"14","รับประทานยา","ใช้ยาแก้แพ้ชนิดไม่ง่วงเพื่อลดอาการแพ้ในจมูกและตา พร้อมควบคุมสภาพแวดล้อมเพื่อลดสารก่อภูมิแพ้","รับประทานยา Loratadine วันละ 1 ครั้งตามคำแนะนำ

ใช้น้ำเกลือล้างจมูกบ่อย ๆ

หลีกเลี่ยงสิ่งที่กระตุ้นอาการแพ้

หากอาการรุนแรงหรือเรื้อรัง ควรพบแพทย์เพื่อรับการรักษาเพิ่มเติม","ตามอาการ อาจใช้ได้หลายสัปดาห์ถึงหลายเดือน ","ง่วงนอนเล็กน้อย  ปากแห้ง  ปวดศีรษะบางราย","ห้ามใช้ยานี้ในผู้ที่แพ้ยา  หลีกเลี่ยงการใช้ร่วมกับยาอื่นโดยไม่ปรึกษาแพทย์"
"15","รับประทานยา","รักษาตามอาการเพื่อบรรเทาอาการปวดและไข้ ยังไม่มีการรักษาเฉพาะเจาะจงสำหรับไวรัสคางทูม","รับประทานยา Paracetamol เพื่อบรรเทาไข้และปวด

ประคบเย็นบริเวณต่อมน้ำลายที่บวม

ดื่มน้ำมาก ๆ และพักผ่อนให้เพียงพอ

แยกผู้ป่วยเพื่อป้องกันการแพร่เชื้อ","อาการมักดีขึ้นภายใน 7-10 วัน","ผลข้างเคียงจากยา Paracetamol ตามที่กล่าวข้างต้น  อาการบวมอาจใช้เวลานานกว่าจะลดลง","หลีกเลี่ยงการใช้ยาเกินขนาดหรือใช้ยาเกินระยะเวลาที่กำหนด  หลีกเลี่ยงการสัมผัสใกล้ชิดผู้อื่นจนกว่าจะหายสนิท"
"16","รับประทานยา","การรักษาเน้นที่การลดอาการอักเสบ บรรเทาอาการเจ็บคอ และฆ่าเชื้อแบคทีเรีย","ให้ผู้ป่วยพักผ่อน ดื่มน้ำมาก ๆ

กลั้วคอด้วยน้ำเกลืออุ่น

ใช้ยาแก้ปวด เช่น Paracetamol เพื่อลดไข้

หากพบการติดเชื้อแบคทีเรีย ใช้ยาปฏิชีวนะตามแพทย์สั่ง (เช่น Amoxicillin)

ในรายที่เป็นบ่อยและรุนแรง แพทย์อาจพิจารณาผ่าตัดต่อมทอนซิลออก","อาการมักดีขึ้นภายใน 7-10 วัน  หากใช้ยาปฏิชีวนะ ให้","อาการแพ้ยา  ท้องเสียจากยาปฏิชีวนะ  การดื้อยา หากไม่รับประทานยาจนครบคอร์ส","ห้ามใช้ยาปฏิชีวนะโดยไม่มีใบสั่งแพทย์  หลีกเลี่ยงการใช้ยาในผู้แพ้ยา  ห้ามหยุดยาเองกลางคัน"
"17","การรักษาโดยใช้ยาและดูแลตนเองเพื่อลดการอักเสบและบรรเทาอาการ","การรักษามีเป้าหมายเพื่อระบายของเหลวในโพรงไซนัส ลดอักเสบ และควบคุมการติดเชื้อ","ดูแลตนเอง

ดื่มน้ำมาก ๆ

สูดไอน้ำอุ่นเพื่อลดการอุดตัน

ประคบร้อนบริเวณใบหน้า

ใช้ยา

สเปรย์พ่นจมูกชนิดลดการอักเสบ เช่น corticosteroids

ยาลดบวมจมูก

ยาปฏิชีวนะ (หากติดเชื้อแบคทีเรีย) เช่น Amoxicillin/Clavulanic

ยาแก้ปวด เช่น Paracetamol หรือ Ibuprofen

ในรายเรื้อรัง

อาจต้องใช้การล้างโพรงจมูกด้วยน้ำเกลือ

พิจารณาการผ่าตัดเปิดโพรงไซนัส (Functional Endoscopic Sinus Surgery: FESS)","แบบเฉียบพลัน: 7-14 วัน  แบบเรื้อรัง: อาจใช้เวลาหลา","ท้องเสียจากยาปฏิชีวนะ  ระคายเคืองจมูกจากสเปรย์  ภาวะดื้อยา หากใช้ยาผิดวิธี","ห้ามใช้ยาพ่นจมูกเกินระยะเวลาที่แพทย์แนะนำ  หลีกเลี่ยงการใช้ยาปฏิชีวนะหากไม่จำเป็น  ห้ามผ่าตัดหากยังสามารถควบคุมอาการได้ด้วยยา"
"18","น้ำยาบ้วนปาก","การรักษามุ่งเน้นที่การกำจัดคราบพลัคและหินปูน และลดแบคทีเรียในช่องปาก","ขูดหินปูน กับทันตแพทย์

ใช้ยาบ้วนปาก Chlorhexidine เพื่อลดแบคทีเรีย

ดูแลช่องปากที่บ้าน

แปรงฟันอย่างสม่ำเสมอ

ใช้ไหมขัดฟัน

ติดตามอาการ กับทันตแพทย์เป็นระยะ

กรณีเรื้อรัง อาจพิจารณาการรักษาโรคปริทันต์ขั้นสูง","อาการมักดีขึ้นภายใน 7-14 วัน หากดูแลอย่างเหมาะสม  ","เจ็บขณะแปรงฟันหรือตอนขูดหินปูน  ระคายเคืองจากน้ำยาบ้วนปาก  สีฟันเปลี่ยนจากน้ำยาบ้วนปาก","ห้ามใช้ Chlorhexidine ติดต่อกันเกิน 2 สัปดาห์ โดยไม่อยู่ในความดูแลของแพทย์  หลีกเลี่ยงการแปรงฟันรุนแรงหรือใช้ยาสีฟันมีฤทธิ์กัดกร่อนสูง"
"19","รับประทานยา","การรักษาขึ้นอยู่กับชนิดของคอพอก ได้แก่ การใช้ยา การผ่าตัด หรือการรักษาด้วยสารกัมมันตรังสี","ตรวจวัดฮอร์โมนไทรอยด์ (TSH, FT3, FT4)

ทำอัลตราซาวด์ต่อมไทรอยด์

หากเป็นคอพอกจากไทรอยด์เป็นพิษ → ให้ยา Methimazole

หากเป็นคอพอกโตมากหรือก้อนน่าสงสัย → อาจพิจารณาผ่าตัด

คอพอกจากไอโอดีนต่ำ → ให้ไอโอดีนเสริม

ติดตามอาการทุก 3-6 เดือน","รักษาด้วยยาอาจใช้เวลาหลายเดือนถึงปี  หากผ่าตัดหรือ","ผลข้างเคียงจากยา Methimazole ดังที่กล่าว  การผ่าตัดอาจทำให้เสียงแหบ หรือภาวะแคลเซียมต่ำ  รังสีไอโอดีนอาจทำให้ไทรอยด์ทำงานต่ำในระยะยาว","หญิงตั้งครรภ์ควรหลีกเลี่ยงการใช้ Methimazole ในช่วงไตรมาสแรก  ห้ามใช้สารกัมมันตรังสีในหญิงตั้งครรภ์และให้นมบุตร"
